yahoo_symbol,sector,industry,country,currency,long_name,fetched_at
ABBN.SW,Industrials,Electrical Equipment & Parts,Switzerland,CHF,ABB Ltd,2026-02-14T19:57:16Z
CA00831V2057,Basic Materials,Other Industrial Metals & Mining,Canada,USD,Aftermath Silver Ltd.,2026-02-14T19:57:18Z
CA0084741085,Basic Materials,Gold,Canada,USD,Agnico Eagle Mines Limited,2026-02-14T19:57:19Z
CA0115321089,Basic Materials,Gold,Canada,CAD,Alamos Gold Inc.,2026-02-14T19:57:21Z
ALB,Basic Materials,Specialty Chemicals,United States,USD,Albemarle Corporation,2026-02-14T19:57:22Z
ALV.DE,Financial Services,Insurance - Diversified,Germany,EUR,Allianz SE,2026-02-14T19:57:24Z
GOOGL,Communication Services,Internet Content & Information,United States,USD,Alphabet Inc.,2026-02-14T19:57:25Z
AMZN,Consumer Cyclical,Internet Retail,United States,USD,"Amazon.com, Inc.",2026-02-14T19:57:26Z
ASML,Technology,Semiconductor Equipment & Materials,Netherlands,USD,ASML Holding N.V.,2026-02-14T19:57:27Z
NDA.DE,Industrials,Metal Fabrication,Germany,EUR,Aurubis AG,2026-02-14T19:57:28Z
AUTO.OL,Technology,Computer Hardware,Norway,NOK,AutoStore Holdings Ltd.,2026-02-14T19:57:30Z
CA0539061030,Basic Materials,Other Precious Metals & Mining,Canada,CAD,Avino Silver & Gold Mines Ltd.,2026-02-14T19:57:31Z
CA11777Q2099,Basic Materials,Gold,Canada,CAD,B2Gold Corp.,2026-02-14T19:57:33Z
CA06849F1080,Basic Materials,Gold,Canada,CAD,Barrick Mining Corporation,2026-02-14T19:57:34Z
BAYN.DE,Healthcare,Drug Manufacturers - General,Germany,EUR,Bayer Aktiengesellschaft,2026-02-14T19:57:35Z
BTC-EUR,,,,EUR,Bitcoin EUR,2026-02-14T19:57:36Z
US8522341036,Technology,Software - Infrastructure,United States,USD,"Block, Inc.",2026-02-14T19:57:37Z
CCJ,Energy,Uranium,Canada,USD,Cameco Corporation,2026-02-14T19:57:38Z
US1344291091,Consumer Defensive,Packaged Foods,United States,USD,The Campbell's Company,2026-02-14T19:57:40Z
US15135B1017,Healthcare,Healthcare Plans,United States,USD,Centene Corporation,2026-02-14T19:57:41Z
CGNX,Technology,Scientific & Technical Instruments,United States,USD,Cognex Corporation,2026-02-14T19:57:42Z
US19260Q1076,Financial Services,Financial Data & Stock Exchanges,United States,USD,"Coinbase Global, Inc.",2026-02-14T19:57:43Z
CNE100006WS8,Industrials,Electrical Equipment & Parts,China,HKD,"Contemporary Amperex Technology Co., Limited",2026-02-14T19:57:44Z
DB1.DE,Financial Services,Financial Data & Stock Exchanges,Germany,EUR,Deutsche Börse AG,2026-02-14T19:57:46Z
CA2546771072,Basic Materials,Silver,Canada,CAD,Discovery Silver Corp.,2026-02-14T19:57:47Z
CA2568277834,Basic Materials,Silver,Canada,CAD,Dolly Varden Silver Corporation,2026-02-14T19:57:48Z
CA29258Y1034,Basic Materials,Silver,Canada,CAD,Endeavour Silver Corp.,2026-02-14T19:57:49Z
CA29446Y5020,Basic Materials,Gold,Canada,CAD,Equinox Gold Corp.,2026-02-14T19:57:51Z
ETH-EUR,,,,EUR,Ethereum EUR,2026-02-14T19:57:52Z
FANUY,Industrials,Specialty Industrial Machinery,Japan,USD,Fanuc Corporation,2026-02-14T19:57:53Z
CA32076V1031,Basic Materials,Silver,Canada,CAD,First Majestic Silver Corp.,2026-02-14T19:57:54Z
FSLR,Technology,Solar,United States,USD,"First Solar, Inc.",2026-02-14T19:57:56Z
US34379V1035,Utilities,Utilities - Renewable,United States,USD,"Fluence Energy, Inc.",2026-02-14T19:57:57Z
FCX,Basic Materials,Copper,United States,USD,Freeport-McMoRan Inc.,2026-02-14T19:57:58Z
DE0005785802,Healthcare,Medical Care Facilities,Germany,EUR,Fresenius Medical Care AG,2026-02-14T19:57:59Z
GB00B2QPKJ12,Basic Materials,Other Precious Metals & Mining,Mexico,GBp,Fresnillo plc,2026-02-14T19:58:01Z
CA38171A2092,Basic Materials,Other Precious Metals & Mining,Canada,CAD,Goliath Resources Limited,2026-02-14T19:58:02Z
US4227041062,Basic Materials,Other Precious Metals & Mining,United States,USD,Hecla Mining Company,2026-02-14T19:58:03Z
US45337C1027,Healthcare,Biotechnology,United States,USD,Incyte Corporation,2026-02-14T19:58:04Z
IFX.DE,Technology,Semiconductors,Germany,EUR,Infineon Technologies AG,2026-02-14T19:58:05Z
US4571871023,Consumer Defensive,Packaged Foods,United States,USD,Ingredion Incorporated,2026-02-14T19:58:07Z
US47215P1066,Consumer Cyclical,Internet Retail,China,USD,"JD.com, Inc.",2026-02-14T19:58:08Z
JP3236200006,Technology,Scientific & Technical Instruments,Japan,JPY,Keyence Corporation,2026-02-14T19:58:09Z
US5006311063,Utilities,Utilities - Regulated Electric,South Korea,USD,Korea Electric Power Corporation,2026-02-14T19:58:10Z
US54951L1098,Consumer Cyclical,Restaurants,China,USD,Luckin Coffee Inc.,2026-02-14T19:58:12Z
US5502411037,Communication Services,Telecom Services,United States,USD,"Lumen Technologies, Inc.",2026-02-14T19:58:13Z
FR0000121014,Consumer Cyclical,Luxury Goods,France,EUR,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",2026-02-14T19:58:14Z
CA5589221004,Basic Materials,Other Industrial Metals & Mining,Canada,CAD,Magma Silver Corp.,2026-02-14T19:58:15Z
US57636Q1040,Financial Services,Credit Services,United States,USD,Mastercard Incorporated,2026-02-14T19:58:16Z
MSFT,Technology,Software - Infrastructure,United States,USD,Microsoft Corporation,2026-02-14T19:58:17Z
US66981J1025,Consumer Cyclical,Specialty Retail,China,USD,MINISO Group Holding Limited,2026-02-14T19:58:18Z
JP3902400005,Industrials,Electrical Equipment & Parts,Japan,JPY,Mitsubishi Electric Corporation,2026-02-14T19:58:20Z
CH0038863350,Consumer Defensive,Packaged Foods,Switzerland,CHF,Nestlé S.A.,2026-02-14T19:58:21Z
US64110L1061,Communication Services,Entertainment,United States,USD,"Netflix, Inc.",2026-02-14T19:58:22Z
AU0000297962,Basic Materials,Gold,United States,AUD,Newmont Corporation,2026-02-14T19:58:23Z
US6541061031,Consumer Cyclical,Footwear & Accessories,United States,USD,"NIKE, Inc.",2026-02-14T19:58:25Z
DK0062498333,Healthcare,Drug Manufacturers - General,Denmark,DKK,Novo Nordisk A/S,2026-02-14T19:58:26Z
NVDA,Technology,Semiconductors,United States,USD,NVIDIA Corporation,2026-02-14T19:58:27Z
