row_index,date,symbol,name,status,detail,mapped_yahoo,metric,value,method
,,CRYPTO:ADA,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:BTC,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:DOGE,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:ETH,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:SOL,,yahoo_fetch_failed,No usable daily history returned,,,,
,,CRYPTO:XRP,,yahoo_fetch_failed,No usable daily history returned,,,,
,,DV.V,,yahoo_fetch_failed,No usable daily history returned,,,,
,,SLVR.V,,yahoo_fetch_failed,No usable daily history returned,,,,
47,2026-02-10,DE0007446007,,filled,,TTK.DE,volatility,0.02082239057712396,vol_1y
47,2026-02-10,DE0007446007,,filled,,TTK.DE,drawdown,0.5469437453384518,dd_calendar_1y
47,2026-02-10,DE0007446007,,filled,,TTK.DE,rs3m,-0.14845366011200578,rel_current63
47,2026-02-10,DE0007446007,,filled,,TTK.DE,trend200,-0.2722003858558838,trend_200
48,2026-02-10,DE000ENER6Y0,,filled,,ENR.DE,volatility,0.0317180108727596,vol_1y
48,2026-02-10,DE000ENER6Y0,,filled,,ENR.DE,drawdown,0.2374371519953894,dd_calendar_1y
48,2026-02-10,DE000ENER6Y0,,filled,,ENR.DE,rs3m,0.3797188025798548,rel_current63
48,2026-02-10,DE000ENER6Y0,,filled,,ENR.DE,trend200,0.4653112513388138,trend_200
245,2026-02-11,DE0007446007,,filled,,TTK.DE,volatility,0.020739218168280952,vol_1y
245,2026-02-11,DE0007446007,,filled,,TTK.DE,drawdown,0.5469437453384518,dd_calendar_1y
245,2026-02-11,DE0007446007,,filled,,TTK.DE,rs3m,-0.11432816285739256,rel_current63
245,2026-02-11,DE0007446007,,filled,,TTK.DE,trend200,-0.2611923424824778,trend_200
246,2026-02-11,DE0007446007,,filled,,TTK.DE,volatility,0.020739218168280952,vol_1y
246,2026-02-11,DE0007446007,,filled,,TTK.DE,drawdown,0.5469437453384518,dd_calendar_1y
246,2026-02-11,DE0007446007,,filled,,TTK.DE,rs3m,-0.11432816285739256,rel_current63
246,2026-02-11,DE0007446007,,filled,,TTK.DE,trend200,-0.2611923424824778,trend_200
247,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,volatility,0.032108868377040356,vol_1y
247,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,drawdown,0.2374371519953894,dd_calendar_1y
247,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,rs3m,0.5253585973578427,rel_current63
247,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,trend200,0.5812018583447855,trend_200
248,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,volatility,0.032108868377040356,vol_1y
248,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,drawdown,0.2374371519953894,dd_calendar_1y
248,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,rs3m,0.5253585973578427,rel_current63
248,2026-02-11,DE000ENER6Y0,,filled,,ENR.DE,trend200,0.5812018583447855,trend_200
