symbol,name,score_prev,score_now,score_delta,rank_prev,rank_now,rank_prev_common,rank_now_common,rank_delta,status
AEM,AGNICO EAGLE,42.77,42.54,-0.23000000000000398,1,1,1,1,0,ok
WPM.TO,WHEATON PREC.,41.66,42.5,0.8400000000000034,2,2,2,2,0,ok
JNJ,Johnson & Johnson,38.37,39.11,0.740000000000002,3,3,3,3,0,ok
INCY,INCYTE CORP,37.36,37.35,-0.00999999999999801,6,4,6,4,2,ok
ASM.TO,AVINO SILVER,37.88,36.27,-1.6099999999999994,5,5,5,5,0,ok
NVDA,NVIDIA CORP.,37.89,36.16,-1.730000000000004,4,6,4,6,-2,ok
FRES.L,FRESNILLO PLC,35.73,36.15,0.4200000000000017,7,7,7,7,0,ok
NEM.AX,NEWMONT CORP.,34.76,34.94,0.17999999999999972,9,8,9,8,1,ok
ABX.TO,BARRICK MINING,35.42,34.71,-0.7100000000000009,8,9,8,9,-1,ok
GOOGL,ALPHABET INC.A,33.82,34.49,0.6700000000000017,13,10,13,10,3,ok
MA,MASTERCARD INC,33.98,34.34,0.36000000000000654,12,11,12,11,1,ok
MSFT,MICROSOFT DL,33.68,34.03,0.3500000000000014,14,12,14,12,2,ok
AAPL,Apple Inc.,32.83,33.97,1.1400000000000006,18,13,18,13,5,ok
ASML,ASML HOLDING,34.11,33.95,-0.1599999999999966,10,14,10,14,-4,ok
KO,Coca-Cola,33.26,33.86,0.6000000000000014,15,15,15,15,0,ok
PLTR,PALANTIR TECHN.,33.26,33.25,-0.00999999999999801,15,16,15,16,-1,ok
TSMN.MX,TAIWAN SEMICON.MANU.ADR/5,33.1,32.71,-0.39000000000000057,17,17,17,17,0,ok
AG.TO,FIRST MAJESTIC,34.06,32.54,-1.5200000000000031,11,18,11,18,-7,ok
BLK,BLACKROCK INC,31.32,31.94,0.620000000000001,21,19,21,19,2,ok
ALV.DE,ALLIANZ SE,31.96,31.9,-0.060000000000002274,19,20,19,20,-1,ok
MU,MICRON TECHNOLOGY INC,31.91,31.19,-0.7199999999999989,20,21,20,21,-1,ok
V,Visa Inc.,30.05,30.72,0.6699999999999982,23,22,23,22,1,ok
2899.HK,ZIJIN MINING,30.34,30.52,0.17999999999999972,22,23,22,23,-1,ok
RHM.DE,Rheinmetall AG,29.58,29.78,0.20000000000000284,25,24,25,24,1,ok
BTO.TO,B2GOLD CORP.,29.45,29.49,0.03999999999999915,26,25,26,25,1,ok
DB1.DE,DEUTSCHE BOERSE AG,28.94,29.3,0.35999999999999943,29,26,29,26,3,ok
ABBN.SW,ABB LTD. NA,29.12,29.19,0.07000000000000028,28,27,28,27,1,ok
TER,TERADYNE INC.,29.7,29.14,-0.5599999999999987,24,28,24,28,-4,ok
0700.HK,TENCENT HLDGS,28.83,29.01,0.18000000000000327,30,29,30,29,1,ok
AMZN,AMAZON.COM,26.55,28.55,2.0,44,30,44,30,14,ok
HMY,Harmony Gold Mining Company,28.78,28.54,-0.240000000000002,31,31,31,31,0,ok
LC0A.MU,LUCKIN COFFEE,27.49,28.45,0.9600000000000009,38,32,38,32,6,ok
HL,HECLA MNG,29.2,28.42,-0.7799999999999976,27,33,27,33,-6,ok
ILMN,ILLUMINA INC.,28.46,28.36,-0.10000000000000142,32,34,32,34,-2,ok
PM,PHILIP MORRIS INTERNATIONAL INC,27.21,28.25,1.0399999999999991,42,35,42,35,7,ok
INGR,INGREDION INC,28.04,28.24,0.1999999999999993,35,36,35,36,-1,ok
ROK,ROCKWELL AU.,28.27,28.2,-0.07000000000000028,34,37,34,37,-3,ok
PEP,PepsiCo,27.3,28.16,0.8599999999999994,41,38,41,38,3,ok
3750.HK,CONT.AMPEREX (CATL),28.0,28.01,0.010000000000001563,36,39,36,39,-3,ok
PG,Procter & Gamble,27.06,27.84,0.7800000000000011,43,40,43,40,3,ok
VALE,VALE S.A.,28.37,27.82,-0.5500000000000007,33,41,33,41,-8,ok
MELI,MercadoLibre Inc.,27.44,27.79,0.34999999999999787,39,42,39,42,-3,ok
SU.PA,Schneider Electric S.E.,27.92,27.73,-0.19000000000000128,37,43,37,43,-6,ok
META,META PLATFORMS INC,26.33,27.62,1.2900000000000027,46,44,46,44,2,ok
KEP,KOREA EL. PWR ADR 1/2,27.34,27.33,-0.010000000000001563,40,45,40,45,-5,ok
ICE,"Intercontinental Exchange, Inc.",26.31,26.95,0.6400000000000006,48,46,48,46,2,ok
DIS,THE WALT DISNEY COMPANY,26.32,26.94,0.620000000000001,47,47,47,47,0,ok
RACE,Ferrari N.V.,26.4,26.77,0.370000000000001,45,48,45,48,-3,ok
CME,CME Group Inc.,25.03,26.74,1.7099999999999973,57,49,57,49,8,ok
PFE,PFIZER INC.,25.3,25.97,0.6699999999999982,54,50,54,50,4,ok
ABT,Abbott Laboratories,25.76,25.95,0.18999999999999773,52,51,52,51,1,ok
GMED,Globus Medical,24.8,25.71,0.9100000000000001,59,52,59,52,7,ok
FCX,FREEPORT-MCMORAN,26.16,25.62,-0.5399999999999991,49,53,49,53,-4,ok
NEE,"NextEra Energy, Inc.",24.87,25.51,0.6400000000000006,58,54,58,54,4,ok
XOM,EXXON MOBIL CORP,25.27,25.38,0.10999999999999943,55,55,55,55,0,ok
AGI.TO,ALAMOS GOLD,26.11,25.36,-0.75,51,56,51,56,-5,ok
SYK,STRYKER CORP,23.96,25.26,1.3000000000000007,70,57,70,57,13,ok
6503.T,MITSUBISHI EL.,25.26,25.25,-0.010000000000001563,56,58,56,58,-2,ok
PAAS.TO,PAN AMER. SILVER,26.16,25.14,-1.0199999999999996,49,59,49,59,-10,ok
CVX,CHEVRON CORP,24.8,25.13,0.3299999999999983,59,60,59,60,-1,ok
ETN,Eaton Corporation plc,25.41,25.04,-0.370000000000001,53,61,53,61,-8,ok
UBER,UBER TECH. DL,24.73,25.03,0.3000000000000007,63,62,63,62,1,ok
CRYPTO:ETH,Ethereum,24.79,24.8,0.010000000000001563,61,63,61,63,-2,ok
SAP.DE,SAP SE O.N.,23.61,24.67,1.0600000000000023,75,64,75,64,11,ok
0857.HK,PETROCHINA CO.,24.54,24.65,0.10999999999999943,65,65,65,65,0,ok
FSLR,FIRST SOLAR INC,24.71,24.62,-0.08999999999999986,64,66,64,66,-2,ok
8035.T,Tokyo Electron Limited,24.1,24.52,0.41999999999999815,67,67,67,67,0,ok
CRYPTO:SOL,SOLANA (KRYPTO),24.08,24.28,0.20000000000000284,68,68,68,68,0,ok
CRYPTO:BTC,Bitcoin,24.14,24.16,0.019999999999999574,66,69,66,69,-3,ok
NESN.SW,NESTLE NAM.,23.84,24.1,0.26000000000000156,71,70,71,70,1,ok
TEAM,ATLASSIAN CORP.,24.0,24.05,0.05000000000000071,69,71,69,71,-2,ok
NFLX,NETFLIX INC.,23.21,23.99,0.7799999999999976,79,72,79,72,7,ok
SPOT,SPOTIFY TECH.,22.93,23.88,0.9499999999999993,82,73,82,73,9,ok
DSV.TO,DISCOVERY SILVER,23.73,23.69,-0.03999999999999915,72,74,72,74,-2,ok
NDA.DE,AURUBIS AG,23.66,23.69,0.030000000000001137,73,74,73,74,-1,ok
NXP,NXP SEMICONDUCTORS NV,23.34,23.56,0.21999999999999886,78,76,78,76,2,ok
ASX,"ASE Technology Holding Co., Ltd.",23.52,23.33,-0.19000000000000128,77,77,77,77,0,ok
XYZ,BLOCK INC. A,23.19,23.05,-0.14000000000000057,80,78,80,78,2,ok
COIN,COINBASE GLB.,23.65,23.01,-0.639999999999997,74,79,74,79,-5,ok
SN.L,SMITH + NEP. DL,22.65,22.96,0.3100000000000023,83,80,83,80,3,ok
ISRG,INTUITIVE SURGICAL INC,22.48,22.88,0.3999999999999986,86,81,86,81,5,ok
AUTO.OL,AUTOSTORE HOLDINGS,22.59,22.84,0.25,84,82,84,82,2,ok
NOW,SERVICENOW INC.,22.49,22.82,0.33000000000000185,85,83,85,83,2,ok
PYPL,PAYPAL HDGS,24.79,22.72,-2.0700000000000003,61,84,61,84,-23,ok
AMAT,"Applied Materials, Inc.",23.53,22.55,-0.9800000000000004,76,85,76,85,-9,ok
SNN,SMITH & NEPHEW PLC,22.09,22.38,0.28999999999999915,91,86,91,86,5,ok
1810.HK,XIAOMI CORP. CL.B,22.02,22.32,0.3000000000000007,92,87,92,87,5,ok
PKX,POSCO HOL.ADR,22.36,22.31,-0.05000000000000071,87,88,87,88,-1,ok
EQX.TO,EQUINOX GOLD,23.04,22.13,-0.9100000000000001,81,89,81,89,-8,ok
SGM.AX,Sims Limited,22.13,21.94,-0.18999999999999773,90,90,90,90,0,ok
BAYN.DE,BAYER AG,21.63,21.91,0.28000000000000114,96,91,96,91,5,ok
CSTM,CONSTELLIUM SE,22.25,21.89,-0.35999999999999943,88,92,88,92,-4,ok
