Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags,OpportunityScore,RiskScore,ScoreError,ScoreMarketRegime,ScoreAssetClass,ScoreRiskMult,ScoreOppW,ScoreRiskW,ScoreMarketTrend200,ticker,name,isin,symbol,yahoo_symbol,category,sector,industry,country,currency,price,price_eur,perf_pct,score,crv,confidence,elliott_signal,mc_chance,cycle_status,rs3m,trend200,sma200,volatility,downside_dev,max_drawdown,avg_volume,dollar_volume,regime_stock,trend200_stock,regime_crypto,trend200_crypto,market_date,trend_ok,liquidity_ok,is_crypto,score_status,crypto_base,quote_currency,asset_id,ticker_display,cluster_official
DVLT,Datavault AI Inc.,DVLT,0.6717000007629395,USD,-6.7083369344471455,0.0,0.0,Seitwärts,0.0,0.0,44.8,71.3,Zyklus-neutral,-165.72,29.069,0.0,-28070000.0,238018480.0,6170000.0,-11.79,147.8,0.0,147.8,0.684,3.15,"[100.0, 0.0, 0.0, 28.75, 100.0]",0.0,48.3,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.5, ""liquidity"": 0.16000000000000003, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US86633R6099,DVLT,DVLT,Tech 💻,,2.055811253331316,0.7561242951738004,0.8479532253431973,33694774.05,22632779.75509207,1.026708502918482,-0.34577341197273526,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,-0.5877398956746938,Technology,Software - Infrastructure,United States,USD,-2.6521734661025365,-6.7083369344471455,71.3,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",34.51,76.82,,neutral,stock,,,,0.026584897155187415,DVLT,Datavault AI Inc.,US86633R6099,DVLT,DVLT,Tech 💻,Technology,Software - Infrastructure,United States,USD,0.6717000007629395,,-6.7083369344471455,0.0,0.0,48.3,Seitwärts,44.8,Zyklus-neutral,-0.5877398956746938,-0.34577341197273526,1.026708502918482,2.055811253331316,0.7561242951738004,0.8479532253431973,33694774.05,22632779.75509207,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,False,True,False,AVOID,,,DVLT,DVLT,Software - Infrastructure
AAGFF,AFTERMATH SILVER,AAGFF,0.6600000262260437,USD,86.96885378574781,0.0,0.0,Seitwärts,0.0,0.0,63.2,32.9,Zyklus-neutral,-39.66,100.0,0.0,-10936923.0,254957904.0,1.0,-4.29,0.0,0.0,0.0,8.209,9.68,"[0.0, 0.0, 0.0, 67.13, 25.0]",0.0,35.2,LOW,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.02285714285714291, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA00831V2057,AAGFF,AAGFF,Edelmetalle ⛏️,0.86,0.9114119440812638,0.4374823362563469,0.4049159027042465,678609.6,447882.353797245,0.6275100007653236,0.05177610782472741,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,0.06642707476896692,Basic Materials,Other Industrial Metals & Mining,Canada,USD,-4.761903533196388,86.96885378574781,32.9,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",39.32,73.54,,neutral,stock,,,,0.026584897155187415,AAGFF,AFTERMATH SILVER,CA00831V2057,AAGFF,AAGFF,Edelmetalle ⛏️,Basic Materials,Other Industrial Metals & Mining,Canada,USD,0.6600000262260437,0.86,86.96885378574781,0.0,0.0,35.2,Seitwärts,63.2,Zyklus-neutral,0.06642707476896692,0.05177610782472741,0.6275100007653236,0.9114119440812638,0.4374823362563469,0.4049159027042465,678609.6,447882.353797245,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,True,False,False,AVOID,,,AAGFF,AAGFF,Other Industrial Metals & Mining
DV.V,DOLLY VARDEN,DV.V,5.800000190734863,CAD,46.46464987027863,0.0,0.0,Seitwärts,0.0,0.0,60.7,32.7,Zyklus-neutral,-26.19,100.0,0.0,-20282864.0,565411840.0,1.0,-3.59,0.0,0.0,0.0,4.598,12.31,"[0.0, 0.0, 0.0, 67.27, 100.0]",-111.962166,42.2,LOW,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.5, ""liquidity"": 0.05142857142857138, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA2568277834,DV.V,DV.V,Edelmetalle ⛏️,7.53,0.6400026992049286,0.39562059765413204,0.3021738902832921,291750.75,1692154.4056470394,5.730900006294251,0.01205747515481348,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,-0.07988818752506088,Basic Materials,Silver,Canada,CAD,-3.0100305646238334,46.46464987027863,32.7,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",35.61,65.33,,neutral,stock,,,,0.026584897155187415,DV.V,DOLLY VARDEN,CA2568277834,DV.V,DV.V,Edelmetalle ⛏️,Basic Materials,Silver,Canada,CAD,5.800000190734863,7.53,46.46464987027863,0.0,0.0,42.2,Seitwärts,60.7,Zyklus-neutral,-0.07988818752506088,0.01205747515481348,5.730900006294251,0.6400026992049286,0.39562059765413204,0.3021738902832921,291750.75,1692154.4056470394,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,True,False,False,AVOID,,,DV.V,DV.V,Silver
GOT.V,GOLIATH RES,GOT.V,1.8899999856948853,CAD,7.386363405457219,0.0,0.0,Seitwärts,0.0,0.0,50.2,50.0,Zyklus-neutral,-164.74,100.0,0.0,-20772268.0,394225856.0,1.0,-5.27,0.0,0.0,0.0,5.955,11.76,"[0.0, 0.0, 0.0, 50.0, 88.14]",-13.722221,35.3,LOW,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.03428571428571425, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA38171A2092,GOT.V,GOT.V,Edelmetalle ⛏️,2.56,0.6809305144448495,0.33358424293789285,0.44574781873224667,589838.5,1114794.7565622926,2.472550001144409,-0.23560697060924674,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,-0.2521662766149896,Basic Materials,Other Precious Metals & Mining,Canada,CAD,-2.072536939902392,7.386363405457219,50.0,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",27.76,69.07,,neutral,stock,,,,0.026584897155187415,GOT.V,GOLIATH RES,CA38171A2092,GOT.V,GOT.V,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,CAD,1.8899999856948853,2.56,7.386363405457219,0.0,0.0,35.3,Seitwärts,50.2,Zyklus-neutral,-0.2521662766149896,-0.23560697060924674,2.472550001144409,0.6809305144448495,0.33358424293789285,0.44574781873224667,589838.5,1114794.7565622926,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,False,False,False,AVOID,,,GOT.V,GOT.V,Other Precious Metals & Mining
MGMA.V,MAGMA SILVER,MGMA.V,0.23000000417232513,CAD,84.00000333786011,0.0,0.0,Seitwärts,0.0,0.0,60.8,23.3,Zyklus-neutral,-2465.46,100.0,0.0,-1205764.0,23695312.0,1.0,-5.09,0.0,0.0,0.0,4.323,0.0,"[0.0, 0.0, 0.0, 76.72, 25.0]",0.0,35.1,LOW,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.005714285714285672, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA5589221004,MGMA.V,MGMA.V,Edelmetalle ⛏️,0.36,1.3917873832810965,0.6164612192042922,0.6530612275929115,579871.05,133370.34391941057,0.2239999996125698,0.026785734688093532,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,0.0152755677320503,Basic Materials,Other Industrial Metals & Mining,Canada,CAD,-6.122449103716454,84.00000333786011,23.3,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",36.86,81.85,,neutral,stock,,,,0.026584897155187415,MGMA.V,MAGMA SILVER,CA5589221004,MGMA.V,MGMA.V,Edelmetalle ⛏️,Basic Materials,Other Industrial Metals & Mining,Canada,CAD,0.23000000417232513,0.36,84.00000333786011,0.0,0.0,35.1,Seitwärts,60.8,Zyklus-neutral,0.0152755677320503,0.026785734688093532,0.2239999996125698,1.3917873832810965,0.6164612192042922,0.6530612275929115,579871.05,133370.34391941057,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,True,False,False,AVOID,,,MGMA.V,MGMA.V,Other Industrial Metals & Mining
VZLA.TO,VIZSLA SILVER,VZLA.TO,5.269999980926514,CAD,85.56338521819875,0.0,0.0,Seitwärts,0.0,0.0,60.3,5.0,Zyklus-Tief,-3.22,100.0,0.0,-38075144.0,1614304768.0,1.0,-2.36,0.0,0.0,0.0,33.437,57.89,"[0.0, 0.0, 0.0, 94.98, 92.49]",-57.42399,36.5,LOW,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.14857142857142858, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA92859G6085,VZLA.TO,VZLA.TO,Edelmetalle ⛏️,9.02,0.6643254790769455,0.5170331072759643,0.4686825102931941,2916777.15,15371415.52486689,5.747850005626678,-0.08313543746485874,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,-0.22206161066163643,Basic Materials,Other Industrial Metals & Mining,Canada,CAD,-3.3027492594149943,85.56338521819875,5.0,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",33.24,72.75,,neutral,stock,,,,0.026584897155187415,VZLA.TO,VIZSLA SILVER,CA92859G6085,VZLA.TO,VZLA.TO,Edelmetalle ⛏️,Basic Materials,Other Industrial Metals & Mining,Canada,CAD,5.269999980926514,9.02,85.56338521819875,0.0,0.0,36.5,Seitwärts,60.3,Zyklus-Tief,-0.22206161066163643,-0.08313543746485874,5.747850005626678,0.6643254790769455,0.5170331072759643,0.4686825102931941,2916777.15,15371415.52486689,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,False,True,False,AVOID,,,VZLA.TO,VZLA.TO,Other Industrial Metals & Mining
UAA,UNDER ARMOUR,UAA,6.269199848175049,USD,-13.647387733752003,0.0,0.0,Seitwärts,0.0,0.0,47.3,51.3,Zyklus-neutral,-30.39,117.662,0.0,-385754240.0,4243432192.0,4975792128.0,-9.09,-5.2,-10.44,-15.64,1.431,109.25,"[0.0, 0.0, 0.0, 48.7, 12.88]",31.058352,42.3,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.23428571428571432, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US9043111072,UAA,UAA,Konsum & Lifestyle,6.38,0.5762859796617965,0.41818919166663715,0.4349593480175915,9959878.45,62440468.46658193,5.737496018409729,0.09267175577277231,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,0.3949885306195161,Consumer Cyclical,Apparel Manufacturing,United States,USD,-4.867986297190963,-13.647387733752003,51.3,stock,S12 Luxus & Marken,pillar,78.0,manual thematic assignment after stack redesign,"luxury, brands, premium consumption",38.28,68.16,,neutral,stock,,,,0.026584897155187415,UAA,UNDER ARMOUR,US9043111072,UAA,UAA,Konsum & Lifestyle,Consumer Cyclical,Apparel Manufacturing,United States,USD,6.269199848175049,6.38,-13.647387733752003,0.0,0.0,42.3,Seitwärts,47.3,Zyklus-neutral,0.3949885306195161,0.09267175577277231,5.737496018409729,0.5762859796617965,0.41818919166663715,0.4349593480175915,9959878.45,62440468.46658193,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,True,True,False,AVOID,,,UAA,UAA,Apparel Manufacturing
OGN,ORGANON + CO.,OGN,6.454999923706055,USD,-58.56827230349617,0.0,0.0,Seitwärts,0.0,0.0,37.4,0.0,Zyklus-Tief,71.62,974.393,102.0,394000000.0,10186466304.0,6301000192.0,3.87,1.3,7.95,9.25,1.754,76.86,"[2.6, 100.0, 0.0, 100.0, 33.89]",2.035662,41.7,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.17142857142857149, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US68622V1061,OGN,OGN,Pharma & Gesundheit,8.98,0.6237498359500855,0.5621329883224215,0.5966969325937502,4278222.95,27615928.815847494,8.720845227241517,-0.25981946067080586,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,-0.07655812566467579,Healthcare,Drug Manufacturers - General,United States,USD,-1.6006100608134566,-58.56827230349617,0.0,stock,S13 Gesundheit,pillar,82.0,manual thematic assignment after stack redesign,"healthcare, pharma, medtech",42.31,76.6,,neutral,stock,,,,0.026584897155187415,OGN,ORGANON + CO.,US68622V1061,OGN,OGN,Pharma & Gesundheit,Healthcare,Drug Manufacturers - General,United States,USD,6.454999923706055,8.98,-58.56827230349617,0.0,0.0,41.7,Seitwärts,37.4,Zyklus-Tief,-0.07655812566467579,-0.25981946067080586,8.720845227241517,0.6237498359500855,0.5621329883224215,0.5966969325937502,4278222.95,27615928.815847494,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,False,True,False,AVOID,,,OGN,OGN,Drug Manufacturers - General
TEM,Tempus AI,TEM,51.310001373291016,USD,13.593100405673697,0.0,0.0,Seitwärts,0.0,0.0,46.7,31.3,Zyklus-neutral,-72.61,263.048,0.0,-108350376.0,10517640192.0,1105257984.0,-1.03,84.7,-18.45,66.25,3.275,55.68,"[100.0, 0.0, 0.0, 68.71, 100.0]",-119.52941,44.9,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.48571428571428577, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US88023B1035,TEM,TEM,Pharma 🧪,,0.7829771056902852,0.4404455787062438,0.5081840311932506,5485795.65,281476182.3350939,69.64714986801147,-0.2632864163066434,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,-0.31353847493582554,Healthcare,Health Information Services,United States,USD,-1.8178281262032692,13.593100405673697,31.3,stock,S13 Gesundheit,pillar,82.0,manual thematic assignment after stack redesign,"healthcare, pharma, medtech",35.22,72.36,,neutral,stock,,,,0.026584897155187415,TEM,Tempus AI,US88023B1035,TEM,TEM,Pharma 🧪,Healthcare,Health Information Services,United States,USD,51.310001373291016,,13.593100405673697,0.0,0.0,44.9,Seitwärts,46.7,Zyklus-neutral,-0.31353847493582554,-0.2632864163066434,69.64714986801147,0.7829771056902852,0.4404455787062438,0.5081840311932506,5485795.65,281476182.3350939,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,False,True,False,AVOID,,,TEM,TEM,Health Information Services
LUMN,LUMEN TECHN.,LUMN,6.644999980926514,USD,34.787022561942635,0.0,0.0,Seitwärts,0.0,0.0,60.8,49.3,Zyklus-neutral,0.0,100.0,0.0,-5826500096.0,24455852032.0,12401999872.0,-23.82,-8.7,-14.02,-22.72,1.802,69.05,"[0.0, 0.0, 0.0, 50.71, 38.17]",-28.083603,38.0,LOW,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.5, ""liquidity"": 0.29714285714285715, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US5502411037,LUMN,LUMN,Medien & Digitales 📱,9.32,0.8185388457461242,0.5021639971787318,0.47337277605647043,12264075.6,81494782.12808132,6.492574994564056,0.02347681566867932,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,-0.17837813781434897,Communication Services,Telecom Services,United States,USD,0.3776449516557756,34.787022561942635,49.3,stock,S14 Kommunikations- & Alltagsinfrastruktur,pillar,76.0,manual thematic assignment after stack redesign,"connectivity, telecom, civic infrastructure",32.96,72.59,,neutral,stock,,,,0.026584897155187415,LUMN,LUMEN TECHN.,US5502411037,LUMN,LUMN,Medien & Digitales 📱,Communication Services,Telecom Services,United States,USD,6.644999980926514,9.32,34.787022561942635,0.0,0.0,38.0,Seitwärts,60.8,Zyklus-neutral,-0.17837813781434897,0.02347681566867932,6.492574994564056,0.8185388457461242,0.5021639971787318,0.47337277605647043,12264075.6,81494782.12808132,neutral,0.026584897155187415,bear,-0.2748213024580459,2026-03-09,True,True,False,AVOID,,,LUMN,LUMN,Telecom Services
