asset_key,ticker,name,score_status,market_regime,confidence,score,score_pctl,r_code
ABBN.SW,ABBN.SW,ABB LTD. NA,OK,bull,63.7,26.85,95.06172839506173,R5
NEM.AX,NEM.AX,NEWMONT CORP.,OK,bull,68.0,23.03,70.37037037037037,R3
SOLB.BR,SOLB.BR,SOLVAY S.A. A,OK,bull,55.5,23.38,74.07407407407408,R3
AUTO.OL,AUTO.OL,AUTOSTORE HOLDINGS,OK,bull,53.0,18.86,32.098765432098766,R2
VALE3.SA,VALE3.SA,VALE S.A.,OK,bull,80.3,30.99,100.0,R5
AAGFF,AAGFF,AFTERMATH SILVER,OK,bull,48.9,16.1,16.049382716049383,R1
AEM,AEM,AGNICO EAGLE,OK,bull,76.9,24.49,82.71604938271605,R4
AGI.TO,AGI.TO,ALAMOS GOLD,OK,bull,74.0,22.93,67.90123456790124,R3
ASM.TO,ASM.TO,AVINO SILVER,OK,bull,70.1,20.92,49.382716049382715,R3
ABX.TO,ABX.TO,BARRICK MINING,OK,bull,76.9,24.88,86.41975308641975,R4
BTO.TO,BTO.TO,B2GOLD CORP.,OK,bull,65.9,19.69,38.2716049382716,R2
DSV.TO,DSV.TO,DISCOVERY SILVER,OK,bull,69.2,21.43,53.086419753086425,R3
DV.V,DV.V,DOLLY VARDEN,OK,bull,47.4,15.95,13.580246913580247,R1
EDR.TO,EDR.TO,ENDEAVOUR SILVER,OK,bull,67.7,19.74,39.50617283950617,R2
EQX.TO,EQX.TO,EQUINOX GOLD,OK,bull,68.2,21.7,56.79012345679012,R3
AG.TO,AG.TO,FIRST MAJESTIC,OK,bull,70.9,22.47,62.96296296296296,R3
GOT.V,GOT.V,GOLIATH RES,OK,bull,35.4,10.62,0.0,R1
MGMA.V,MGMA.V,MAGMA SILVER,OK,bull,57.2,15.65,11.11111111111111,R1
PAAS.TO,PAAS.TO,PAN AMER. SILVER,OK,bull,76.4,23.36,72.8395061728395,R3
PPTA,PPTA,Perpetua Resources,OK,bull,66.0,18.53,30.864197530864196,R2
SLVR.V,SLVR.V,SILVER TIGER,OK,bull,51.9,16.95,22.22222222222222,R2
VZLA.TO,VZLA.TO,VIZSLA SILVER,OK,bull,36.9,11.44,1.2345679012345678,R1
WPM.TO,WPM.TO,WHEATON PREC.,OK,bull,75.4,24.26,80.24691358024691,R4
NESN.SW,NESN.SW,NESTLE NAM.,OK,bull,58.7,24.84,85.18518518518519,R4
0857.HK,0857.HK,PETROCHINA CO.,OK,bull,61.6,24.94,87.65432098765432,R4
2899.HK,2899.HK,ZIJIN MINING,OK,bull,80.4,26.97,96.29629629629629,R5
9880.HK,9880.HK,UBTECH ROBOT.CORP.,OK,bull,49.7,19.93,41.9753086419753,R2
3750.HK,3750.HK,CONT.AMPEREX (CATL),OK,bull,60.3,22.87,66.66666666666666,R3
DB1.DE,DB1.DE,DEUTSCHE BANK,OK,bull,55.9,22.7,64.19753086419753,R3
FME.DE,FME.DE,FRESEN.MED.CARE,OK,bull,52.8,20.14,43.20987654320987,R2
TTK.DE,TTK.DE,TAKKT AG,OK,bull,41.4,16.67,18.51851851851852,R1
ENR.DE,ENR.DE,SIEMENS ENERGY,OK,bull,79.7,27.51,97.53086419753086,R5
NOVO-B.CO,NOVO-B.CO,NOVO-NORDISK,OK,bull,46.4,17.95,27.160493827160494,R2
RI.PA,RI.PA,PERNOD RICARD,OK,bull,55.7,23.26,71.60493827160494,R3
MC.PA,MC.PA,LVMH EO,OK,bull,48.2,19.79,40.74074074074074,R2
SN.L,SN.L,SMITH + NEP. DL,OK,bull,62.6,25.36,88.88888888888889,R4
FRES.L,FRES.L,FRESNILLO PLC,OK,bull,83.2,26.47,93.82716049382715,R5
YCA.L,YCA.L,YELLOW CAKE PLC,OK,bull,64.7,26.34,91.35802469135803,R5
6861.T,6861.T,KEYENCE CORP.,OK,bull,62.2,24.3,81.48148148148148,R4
6503.T,6503.T,MITSUBISHI EL.,OK,bull,80.1,28.02,98.76543209876543,R5
0700.HK,0700.HK,TENCENT HLDGS,OK,bull,58.0,21.98,58.0246913580247,R3
1810.HK,1810.HK,XIAOMI CORP. CL.B,OK,bull,50.1,17.84,24.691358024691358,R2
SPOT,SPOT,SPOTIFY TECH.,OK,bull,47.6,16.71,19.753086419753085,R1
AAPL,AAPL,Apple Inc.,OK,bull,61.1,22.46,61.72839506172839,R3
APLD,APLD,Applied Digital,OK,bull,67.5,21.52,54.32098765432099,R3
CPB,CPB,CAMPBELLS CO.,OK,bull,56.3,21.6,55.55555555555556,R3
