Ticker;Name;Yahoo;ISIN;Symbol;YahooSymbol;Sektor;Country;Sector;Industry;Currency
ABBN.SW;ABB LTD. NA;ABBN.SW;CH0012221716;ABBN.SW;ABBN.SW;Hardware 💻;;;;CHF
NEM.AX;NEWMONT CORP.;NEM.AX;AU0000297962;NEM.AX;NEM.AX;Edelmetalle ⛏️;;;;AUD
SOLB.BR;SOLVAY S.A. A;SOLB.BR;BE0003470755;SOLB.BR;SOLB.BR;Experimente;;;;EUR
AUTO.OL;AUTOSTORE HOLDINGS;AUTO.OL;BMG0670A1099;AUTO.OL;AUTO.OL;Hardware 💻;;;;NOK
VALE3.SA;VALE S.A.;VALE3.SA;BRVALEACNOR0;VALE3.SA;VALE3.SA;Fundament;;;;BRL
AAGFF;AFTERMATH SILVER;AAGFF;CA00831V2057;AAGFF;AAGFF;Edelmetalle ⛏️;;;;USD
AEM;AGNICO EAGLE;AEM;CA0084741085;AEM;AEM;Edelmetalle ⛏️;;;;USD
AGI.TO;ALAMOS GOLD;AGI.TO;CA0115321089;AGI.TO;AGI.TO;Edelmetalle ⛏️;;;;CAD
ASM.TO;AVINO SILVER;ASM.TO;CA0539061030;ASM.TO;ASM.TO;Edelmetalle ⛏️;;;;CAD
ABX.TO;BARRICK MINING;ABX.TO;CA06849F1080;ABX.TO;ABX.TO;Edelmetalle ⛏️;;;;CAD
BTO.TO;B2GOLD CORP.;BTO.TO;CA11777Q2099;BTO.TO;BTO.TO;Edelmetalle ⛏️;;;;CAD
DSV.TO;DISCOVERY SILVER;DSV.TO;CA2546771072;DSV.TO;DSV.TO;Edelmetalle ⛏️;;;;CAD
DV.V;DOLLY VARDEN;DV.V;CA2568277834;DV.V;DV.V;Edelmetalle ⛏️;;;;CAD
EDR.TO;ENDEAVOUR SILVER;EDR.TO;CA29258Y1034;EDR.TO;EDR.TO;Edelmetalle ⛏️;;;;CAD
EQX.TO;EQUINOX GOLD;EQX.TO;CA29446Y5020;EQX.TO;EQX.TO;Edelmetalle ⛏️;;;;CAD
AG.TO;FIRST MAJESTIC;AG.TO;CA32076V1031;AG.TO;AG.TO;Edelmetalle ⛏️;;;;CAD
GOT.V;GOLIATH RES;GOT.V;CA38171A2092;GOT.V;GOT.V;Edelmetalle ⛏️;;;;CAD
MGMA.V;MAGMA SILVER;MGMA.V;CA5589221004;MGMA.V;MGMA.V;Edelmetalle ⛏️;;;;CAD
PAAS.TO;PAN AMER. SILVER;PAAS.TO;CA6979001089;PAAS.TO;PAAS.TO;Edelmetalle ⛏️;;;;CAD
PPTA;Perpetua Resources;PPTA;CA7142661031;PPTA;PPTA;Edelmetalle ⛏️;;;;USD
SLVR.V;SILVER TIGER;SLVR.V;CA82831T1093;SLVR.V;SLVR.V;Edelmetalle ⛏️;;;;CAD
VZLA.TO;VIZSLA SILVER;VZLA.TO;CA92859G6085;VZLA.TO;VZLA.TO;Edelmetalle ⛏️;;;;CAD
WPM.TO;WHEATON PREC.;WPM.TO;CA9628791027;WPM.TO;WPM.TO;Edelmetalle ⛏️;;;;CAD
NESN.SW;NESTLE NAM.;NESN.SW;CH0038863350;NESN.SW;NESN.SW;Konsum & Lifestyle;;;;CHF
0857.HK;PETROCHINA CO.;0857.HK;CNE1000003W8;0857.HK;0857.HK;Energie;;;;HKD
2899.HK;ZIJIN MINING;2899.HK;CNE100000502;2899.HK;2899.HK;Fundament;;;;HKD
