date,symbol,name,score,opportunity,risk,confidence,confidence_label,rs3m,trend200,cycle,close,currency,sector,pillar_primary,cluster_official,bucket_type,volatility,drawdown,roe,growth,margin,debt_ratio,market_regime_stock,market_regime_crypto,market_trend200_stock,market_trend200_crypto,r_code,run_id,scoring_version,rank,universe_size,rank_percentile,observation_type,data_source,as_of,generated_at,snapshot_id,schema_version
2026-09-20,1810.HK,XIAOMI CORP. CL.B,24.72,51.96,43.09,57.0,MED,0.05149061231049146,-0.16680081096259003,100.0,26.399999618530273,HKD,Technology,S1 Hardware,Consumer Electronics,pillar,0.4150004615885304,0.639697227898995,19.86,22.3,9.82,10.389,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,73,198,0.3686868686868687,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,6503.T,MITSUBISHI EL.,28.31,51.58,24.87,54.5,MED,-0.1588883445469753,-0.06622726014159752,100.0,5126.0,JPY,Industrials,S1 Hardware,Electrical Equipment & Parts,pillar,0.4266998235051749,0.23368902439024386,9.51,4.9,6.59,8.262,bull,bull,0.0690614086857908,0.1506120285518029,R4,github-35528192164-1,v1,36,198,0.18181818181818182,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,6861.T,KEYENCE CORP.,18.33,38.96,33.3,52.9,MED,-0.016538301419221302,0.12786406570413877,38.5,76580.0,JPY,Technology,S1 Hardware,Scientific & Technical Instruments,pillar,0.41113153520935763,0.179230282939153,0.0,0.0,0.0,100.0,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,132,198,0.6666666666666666,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,9880.HK,UBTECH ROBOT.CORP.,12.9,38.4,57.46,42.0,LOW,-0.2760159526687985,-0.23986368810322156,14.4,80.8499984741211,HKD,Industrials,S1 Hardware,Specialty Industrial Machinery,pillar,0.6340186370133584,0.5136334912332594,-48.53,27.6,-70.91,57.216,bull,bull,0.0690614086857908,0.1506120285518029,R1,github-35528192164-1,v1,168,198,0.8484848484848485,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,ABBN.SW,ABB LTD. NA,29.56,55.61,31.37,59.0,MED,-0.10130076841064217,0.09460526835777716,82.3,80.0199966430664,CHF,Industrials,S1 Hardware,Electrical Equipment & Parts,pillar,0.28066191155177583,0.1481480970966259,29.33,5.4,14.25,55.485,bull,bull,0.0690614086857908,0.1506120285518029,R4,github-35528192164-1,v1,28,198,0.1414141414141414,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,ABT,Abbott Laboratories,25.1,49.14,32.57,56.9,MED,0.15083076493552117,-0.015443116286416037,80.8,102.61000061035156,USD,Healthcare,S1 Hardware,Medical Devices,pillar,0.2683126706170468,0.3861068368030456,13.16,4.4,14.72,25.31,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,69,198,0.3484848484848485,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,AUTO.OL,AUTOSTORE HOLDINGS,22.66,50.04,47.0,52.0,MED,0.2384243708296767,0.2526311012882969,43.6,15.220000267028809,NOK,Technology,S1 Hardware,Computer Hardware,pillar,0.5723803640470647,0.3009188498396024,5.71,-3.6,15.48,35.222,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,92,198,0.46464646464646464,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,CGNX,COGNEX CORP.,21.92,46.64,39.96,46.4,LOW,-0.1138521652815635,0.12942266085640464,94.1,61.560001373291016,USD,Technology,S1 Hardware,Scientific & Technical Instruments,pillar,0.5906373542075168,0.27864217475145925,7.21,18.0,11.33,5.298,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,99,198,0.5,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,FANUY,FANUC CORP.,20.58,48.6,52.43,44.4,LOW,-0.2733462533366837,-0.10381093357520543,60.4,18.540000915527344,USD,Industrials,S1 Hardware,Specialty Industrial Machinery,pillar,0.48387153760660695,0.3198045860085911,9.37,9.5,19.35,100.0,bull,bull,0.0690614086857908,0.1506120285518029,R2,github-35528192164-1,v1,115,198,0.5808080808080808,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,GMED,Globus Medical,24.2,49.3,37.35,53.2,MED,-0.09030972932340553,-0.1317138707644423,24.1,74.08000183105469,USD,Healthcare,S1 Hardware,Medical Devices,pillar,0.4897993922614196,0.24023964273441223,10.01,22.9,15.3,2.731,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,79,198,0.398989898989899,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
2026-09-20,ISRG,INTUITIVE SURGICAL INC,25.33,50.78,36.57,57.0,MED,-0.04965536672873383,-0.13573917027169136,47.5,393.3299865722656,USD,Healthcare,S1 Hardware,Medical Instruments & Supplies,pillar,0.36788823895249484,0.4399595130529892,16.69,18.8,28.38,0.953,bull,bull,0.0690614086857908,0.1506120285518029,R3,github-35528192164-1,v1,65,198,0.3282828282828283,observed_scanner,scanner_run,2026-09-20,2026-09-20T18:11:04.994810+00:00,00cecea3-c8dd-4021-b8d2-7644fe562f60,research_views_v1
