date,symbol,name,score,opportunity,risk,confidence,confidence_label,rs3m,trend200,liquidity_risk,volatility,drawdown,roe,growth,margin,debt_ratio,close,currency,sector,market_regime_stock,market_regime_crypto,market_trend200_stock,market_trend200_crypto,run_id,universe_version,config_version
2026-02-10,ABBN.SW,ABB LTD. NA,39.17,,,,,0.151412,0.262289,,0.017517,0.245656,29.33,5.4,14.25,55.485,68.62,CHF,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA00831V2057,AFTERMATH SILVER,9.58,,,,,0.525445,0.320199,,0.056972,0.404916,-39.66,0.0,0.0,100.0,0.78,USD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA0084741085,AGNICO EAGLE,113.64,,,,,0.281765,0.408147,,0.025513,0.163594,15.67,41.9,32.62,1.427,211.98,USD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA0115321089,ALAMOS GOLD,66.28,,,,,0.311284,0.394656,,0.028476,0.210164,14.27,28.1,33.46,6.831,61.26,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,ALB,ALBEMARLE CORP.,25.49,,,,,0.704678,0.738133,,0.039856,0.389918,0.21,-3.5,-0.43,36.655,168.51,USD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,ALV.DE,ALLIANZ SE,48.62,,,,,0.033659,0.048701,,0.013352,0.12029,17.98,5.8,10.08,100.0,377.4,EUR,Finanzen,bull,bear,0.074825,-0.325032,,,
2026-02-10,GOOGL,ALPHABET INC.A,66.23,,,,,0.108753,0.325076,,0.019489,0.221733,35.71,18.0,32.81,16.133,318.58,USD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,AMZN,AMAZON.COM,58.86,,,,,-0.188026,-0.073982,,0.022192,0.281148,22.29,13.6,10.83,43.435,206.9,USD,E-Commerce,bull,bear,0.074825,-0.325032,,,
2026-02-10,ASML,ASML HOLDING,57.13,,,,,0.35549,0.5159,,0.02604,0.233748,50.46,4.9,29.42,13.813,1413.62,USD,Gehirn,bull,bear,0.074825,-0.325032,,,
2026-02-10,NDA.DE,AURUBIS AG,25.03,,,,,0.477094,0.604455,,0.019977,0.216572,11.9,25.3,3.14,10.073,168.7,EUR,Recycling,bull,bear,0.074825,-0.325032,,,
2026-02-10,BMG0670A1099,AUTOSTORE HOLDINGS,36.16,,,,,0.037264,0.360397,,0.04357,0.611529,5.71,-3.6,15.48,35.222,11.79,NOK,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA0539061030,AVINO SILVER,85.06,,,,,1.177709,1.115901,,0.052108,0.362144,14.34,44.0,24.72,2.563,14.07,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA11777Q2099,B2GOLD CORP.,56.93,,,,,0.297046,0.326881,,0.030516,0.355769,7.23,74.7,8.75,18.916,7.61,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA06849F1080,BARRICK MINING,71.29,,,,,0.27479,0.488109,,0.025593,0.163234,20.68,64.5,29.45,14.509,63.74,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,BAYN.DE,BAYER AG,35.34,,,,,0.707052,0.540251,,0.023997,0.216737,-0.57,-3.1,-0.43,133.457,46.17,EUR,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,BTC-USD,BITCOIN (KRYPTO),20.12,,,,,-0.016649,-0.337477,,0.024372,0.500247,0.0,0.0,0.0,100.0,57775.4,EUR,Kryptowährungen 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,US8522341036,BLOCK INC. A,54.07,,,,,-0.158924,-0.158312,,0.033957,0.447977,14.69,2.3,13.08,36.049,57.31,USD,Fintech,bull,bear,0.074825,-0.325032,,,
2026-02-10,CCJ,CAMECO CORP.,14.59,,,,,0.24769,0.43569,,0.03362,0.264193,8.1,-14.7,15.18,14.854,118.07,USD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,US1344291091,CAMPBELLS CO.,36.85,,,,,-0.071983,-0.046473,,0.017902,0.353429,14.82,-3.4,5.69,184.567,29.15,USD,Konsum & Lifestyle,bull,bear,0.074825,-0.325032,,,
2026-02-10,US15135B1017,CENTENE CORP.,30.03,,,,,0.020025,-0.021884,,0.037779,0.607871,-28.68,23.1,-3.79,86.762,39.61,USD,Pharma & Gesundheit,bull,bear,0.074825,-0.325032,,,
2026-02-10,CGNX,COGNEX CORP.,64.32,,,,,0.077674,0.148968,,0.031378,0.411251,7.21,18.0,11.33,5.298,43.58,USD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,US19260Q1076,COINBASE GLB.,60.27,,,,,-0.508871,-0.440478,,0.0467,0.651913,26.0,58.9,43.66,48.559,162.51,USD,Krypto-Infrastruktur 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,CNE100006WS8,CONT.AMPEREX (CATL),58.8,,,,,-0.102073,,,0.024871,0.238329,22.14,12.9,16.52,37.135,511.0,HKD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,DE0005140008,DEUTSCHE BANK,55.4,,,,,-0.039773,-0.136162,,0.014684,0.295041,19.48,4.2,27.59,54.664,209.7,EUR,Finanzen,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA2546771072,DISCOVERY SILVER,60.76,,,,,0.560382,0.872318,,0.049771,0.242991,11.07,0.0,9.5,100.0,10.08,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA2568277834,DOLLY VARDEN,34.6,,,,,0.077882,0.188645,,0.039333,0.302174,-26.19,0.0,0.0,100.0,6.53,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA29258Y1034,ENDEAVOUR SILVER,56.5,,,,,0.455038,0.67764,,0.049144,0.367376,-20.46,167.3,-27.97,31.741,16.46,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA29446Y5020,EQUINOX GOLD,49.39,,,,,0.223925,0.543598,,0.033427,0.232742,1.41,91.2,2.71,34.774,21.52,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,ETH-USD,ETHEREUM (KRYPTO),21.82,,,,,-0.149133,-0.449811,,0.041176,0.624615,0.0,0.0,0.0,100.0,1691.68,EUR,Kryptowährungen 🪙,bull,bear,0.074825,-0.325032,,,
2026-02-10,FANUY,FANUC CORP.,21.99,,,,,0.310878,0.417256,,0.024644,0.266136,9.37,9.5,19.35,100.0,22.24,USD,Hardware 💻,bull,bear,0.074825,-0.325032,,,
2026-02-10,CA32076V1031,FIRST MAJESTIC,100.36,,,,,0.903774,0.962577,,0.043608,0.3013,4.21,95.1,7.07,7.886,32.26,CAD,Edelmetalle ⛏️,bull,bear,0.074825,-0.325032,,,
2026-02-10,FSLR,FIRST SOLAR INC,63.78,,,,,-0.18924,0.08015,,0.040255,0.266378,16.86,79.7,27.73,9.893,226.24,USD,Energie,bull,bear,0.074825,-0.325032,,,
2026-02-10,US34379V1035,FLUENCE ENER.,-6.47,,,,,-0.121135,0.43567,,0.069937,0.509511,-14.46,154.4,-2.04,82.778,18.99,USD,Experimente,bull,bear,0.074825,-0.325032,,,
