Ticker,Name,Yahoo,ISIN,Symbol,YahooSymbol,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %
CH0012221716,ABB LTD. NA,ABBN.SW,CH0012221716,ABBN.SW,ABBN.SW,71.81999969482422,CHF,49.55748824014632,0.0,0.0,Seitwärts,0.0,0.0,64.9,82.3,Zyklus-Hoch,29.33,55485.0,131.0,880625024.0,127925157888.0,33219999744.0,0.69,5.4,14.25,19.65,1558.0,56.54,"[10.8, 58.66, 0.0, 17.74, 6.46]",27.666952,30.6,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.46308724832214765, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Hardware 💻,61.46,0.2724817708058226,0.1694630849199421,0.2172462350016867,2682852.6,192682472.9132584,56.07010005950928,0.2808965851425089,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.2364142945026723,Industrials,Electrical Equipment & Parts,Switzerland,CHF,1.0979712404907804,49.55748824014632
CA00831V2057,AFTERMATH SILVER,AAGFF,CA00831V2057,AAGFF,AAGFF,0.9059000015258788,USD,170.41790416729867,0.0,0.0,Seitwärts,0.0,0.0,63.2,32.9,Zyklus-neutral,-39.66,100.0,0.0,-10936923.0,254957904.0,1.0,-4.29,0.0,0.0,0.0,8209.0,9.68,"[0.0, 0.0, 0.0, 67.13, 25.0]",0.0,14.5,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.020134228187919434, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,0.86,0.9108749843493466,0.431371326295181,0.4049159027042465,942036.0,853390.4138374329,0.6158595004677773,0.4709523857922153,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.6229324315409688,Basic Materials,Other Industrial Metals & Mining,Canada,USD,4.126436386292354,170.41790416729867
CA0084741085,AGNICO EAGLE,AEM,CA0084741085,AEM,AEM,251.6000061035156,USD,163.54260475645032,114.13,3.41,BUY,225.0,284.12,75.8,50.1,Zyklus-neutral,15.67,1427.0,76.0,3510760960.0,104343330816.0,10567577600.0,3.36,41.9,32.62,74.52,2.12,72.91,"[83.8, 31.34, 28.65, 69.91, 22.95]",16.093971,,,,Edelmetalle ⛏️,215.18,0.4130287848342355,0.3454194445101913,0.1635942649013326,2846045.1,716064964.5308808,157.41704139709472,0.5983022160150899,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.4452433522689023,Basic Materials,Gold,Canada,USD,2.11039461681799,163.54260475645032
CA0115321089,ALAMOS GOLD,AGI.TO,CA0115321089,AGI.TO,AGI.TO,73.93000030517578,CAD,126.92517149382434,0.0,0.0,Seitwärts,0.0,0.0,68.7,100.0,Zyklus-Hoch,14.27,6831.0,23.0,228962496.0,25537525760.0,1609299968.0,0.9,28.1,33.46,61.56,1717.0,71.77,"[56.2, 28.54, 0.0, 0.0, 26.31]",17.732689,33.4,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.4, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.24832214765100669, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,59.13,0.4714056408293683,0.377421271418485,0.2101639669075079,1271099.5,93972386.42290878,45.60140371322632,0.6212220301396771,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.4955253625939961,Basic Materials,Gold,Canada,CAD,3.0526937644533403,126.92517149382434
US0126531013,ALBEMARLE CORP.,ALB,US0126531013,ALB,ALB,178.6699981689453,USD,136.76150013233942,0.0,0.0,Seitwärts,0.0,0.0,67.0,25.2,Zyklus-neutral,0.21,36655.0,96.0,-155030256.0,24179556352.0,4946415104.0,-0.64,-3.5,-0.43,-3.93,2273.0,93.0,"[0.0, 0.42, 0.0, 74.79, 0.0]",64.59475,20.4,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.610738255033557, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Energie,194.95,0.6483912425414183,0.4692484365086415,0.36142914789329,2920592.65,521822283.4277352,103.99695150375366,0.7180311113494169,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.3998311494724649,Basic Materials,Specialty Chemicals,United States,USD,-3.3850617827098195,136.76150013233942
DE0008404005,ALLIANZ SE,ALV.DE,DE0008404005,ALV.DE,ALV.DE,382.2000122070313,EUR,19.618087226944205,0.0,0.0,Seitwärts,0.0,0.0,65.4,58.7,Zyklus-neutral,17.98,100.0,398.0,0.0,114918481920.0,105018998784.0,0.0,5.8,10.08,15.88,127745.0,41.77,"[11.6, 35.96, 0.0, 41.3, 20.39]",12.127932,30.5,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.4563758389261745, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Finanzen,365.3,0.2078145935157543,0.162723867065767,0.1202902324807803,549228.3,209915062.96444705,361.23599960327147,0.0580341179361514,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.0086182454765317,Financial Services,Insurance - Diversified,Germany,EUR,-0.6498570108322776,19.618087226944205
US02079K3059,ALPHABET INC.A,GOOGL,US02079K3059,GOOGL,GOOGL,311.760009765625,USD,83.80375414247692,0.0,0.0,Seitwärts,0.0,0.0,75.0,4.9,Zyklus-Tief,35.71,16133.0,26.0,38088376320.0,3794015354880.0,402835996672.0,1.0,18.0,32.81,50.81,2005.0,81.35,"[36.0, 71.42, 0.0, 95.07, 21.4]",23.884943,40.1,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.4, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.9194630872483222, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Gehirn,335.67,0.3098721121455518,0.1849210624012396,0.1667626609093029,41969062.7,13084275397.20613,249.4107762145996,0.2499861252882611,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,-0.0372264847461374,Communication Services,Internet Content & Information,United States,USD,1.4249478864060583,83.80375414247692
US0231351067,AMAZON.COM,AMZN,US0231351067,AMZN,AMZN,210.0,USD,-1.0740525684981517,0.0,0.0,Seitwärts,0.0,0.0,47.3,1.3,Zyklus-Tief,22.29,43435.0,0.0,23793125376.0,2277217140736.0,716923994112.0,1.04,13.6,10.83,24.43,1051.0,66.62,"[27.2, 44.58, 0.0, 98.71, 32.39]",22.206844,34.9,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.8926174496644296, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",E-Commerce,244.38,0.3524489027287699,0.2382434798963768,0.2173622311569574,65425497.75,13739354527.5,224.34630020141603,-0.0639471218760284,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,-0.0958757877114462,Consumer Cyclical,Internet Retail,United States,USD,1.000385652833935,-1.0740525684981517
NL0010273215,ASML HOLDING,ASML,NL0010273215,ASML,ASML,1450.56005859375,USD,106.36018249948228,0.0,0.0,Seitwärts,0.0,0.0,73.9,35.5,Zyklus-neutral,50.46,13813.0,62.0,12685974528.0,535751229440.0,32667299840.0,2.37,4.9,29.42,34.32,1262.0,18.74,"[9.8, 100.0, 0.0, 64.53, 12.03]",31.993082,39.1,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.4, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.8120805369127517, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Gehirn,1466.93,0.4091706043380969,0.2615149333961382,0.195174134475406,1551042.4,2249880154.6253905,977.6583813476562,0.4837085082769106,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.3830415463281746,Technology,Semiconductor Equipment & Materials,Netherlands,USD,-0.9044944522972664,106.36018249948228
DE0006766504,AURUBIS AG,NDA.DE,DE0006766504,NDA.DE,NDA.DE,172.8000030517578,EUR,111.44875062281444,25.03,0.0,BUY,123.5,145.46,79.5,54.1,Zyklus-neutral,11.9,10073.0,95.0,-585249984.0,7707624960.0,19295000576.0,-7.59,25.3,3.14,28.44,2108.0,49.51,"[50.6, 23.8, 0.0, 65.86, 6.88]",18.59068,,,,Recycling,155.7,0.3251515115961933,0.19118730882338,0.2165719979018898,280842.1,48529515.73706207,110.10744731903075,0.5693761617329891,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.6024352959631509,Industrials,Metal Fabrication,Germany,EUR,1.9469044553143355,111.44875062281444
BMG0670A1099,AUTOSTORE HOLDINGS,AUTO.OL,BMG0670A1099,AUTO.OL,AUTO.OL,10.899999618530272,NOK,0.1838189694760128,0.0,0.0,Seitwärts,0.0,0.0,53.0,43.6,Zyklus-neutral,5.71,35222.0,0.0,163850000.0,39791874048.0,523800000.0,0.41,-3.6,15.48,11.88,4.24,95.1,"[0.0, 11.42, 0.0, 56.35, 8.19]",28.716442,50.0,MED,{},Hardware 💻,11.83,0.7120797959557041,0.5011417309379257,0.5818345194943639,7033130.55,76661120.3120736,9.092975027561188,0.1987275435698348,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.0861347803079821,Technology,Computer Hardware,Norway,NOK,-1.9784196878860685,0.1838189694760128
CA0539061030,AVINO SILVER,ASM.TO,CA0539061030,ASM.TO,ASM.TO,13.119999885559082,CAD,654.0229777959682,85.52,7.87,BUY,16.11,25.14,81.5,36.8,Zyklus-neutral,14.34,2563.0,0.0,15571250.0,2153994752.0,86065000.0,0.72,44.0,24.72,68.72,2754.0,32.98,"[88.0, 28.68, 0.0, 83.21, 1.54]",14.07,,,,Edelmetalle ⛏️,13.98,0.825364474256526,0.5038436199486669,0.3621444524381038,1001498.45,13139659.549387597,7.215650001764297,0.818269994020097,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.941881698003854,Basic Materials,Other Precious Metals & Mining,Canada,CAD,4.044411124244407,654.0229777959682
