Ticker,Name,Yahoo,ISIN,Symbol,YahooSymbol,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,OpportunityScore,RiskScore,ScoreDiversificationPenalty,ScoreDiversificationBreakdown,ScoreError,ScoreMarketRegime,ScoreAssetClass,ScoreRiskMult,ScoreOppW,ScoreRiskW,ScoreMarketTrend200,ticker,name,isin,symbol,yahoo_symbol,category,sector,industry,country,currency,price,price_eur,perf_1d_pct,perf_1y_pct,perf_pct,score,crv,confidence,diversification_penalty,elliott_signal,mc_chance,cycle,cycle_status,rs3m,trend200,sma200,volatility,downside_dev,max_drawdown,avg_volume,dollar_volume,regime_stock,trend200_stock,regime_crypto,trend200_crypto,market_date,trend_ok,liquidity_ok,is_crypto,score_status,crypto_base,quote_currency,asset_id,ticker_display,cluster_official,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags,TrendOK,LiquidityOK
CA9628791027,WHEATON PREC.,WPM.TO,CA9628791027,WPM.TO,WPM.TO,193.39999389648438,CAD,99.81427418229049,43.99,3.74,BUY,214.41,269.3,76.2,38.5,Zyklus-neutral,13.05,99.0,48.0,376391360.0,87851417600.0,1830402048.0,0.43,54.5,54.72,109.22,8089.0,73.33,"[100.0, 26.1, 95.05, 81.5, 16.33]",34.90334,84.7,HIGH,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.7649549549549549, ""liquidity"": 0.4370860927152318, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,202.53,0.3884229125677791,0.3468131778398729,0.17106835969632228,893929.15,172885892.15388948,144.1973738861084,0.3412171711895233,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.2872260980422705,Basic Materials,Gold,Canada,,-2.6575392459939895,99.81427418229049,78.36,29.27,0.79,"{""penalty_points"": 0.79, ""label"": ""low"", ""category"": ""Basic Materials"", ""category_share"": 0.2067, ""category_penalty"": 0.79, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,WPM.TO,WHEATON PREC.,CA9628791027,WPM.TO,WPM.TO,Edelmetalle ⛏️,Basic Materials,Gold,Canada,,193.39999389648438,202.53,-2.6575392459939895,99.81427418229049,99.81427418229049,43.99,3.74,84.7,0.79,BUY,76.2,38.5,Zyklus-neutral,0.2872260980422705,0.3412171711895233,144.1973738861084,0.3884229125677791,0.3468131778398729,0.17106835969632228,893929.15,172885892.15388948,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,WPM.TO,WPM.TO,Gold,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining",True,True
CA0084741085,AGNICO EAGLE,AEM,CA0084741085,AEM,AEM,214.14999389648438,USD,122.85529589488822,43.85,3.41,BUY,225.0,284.12,75.8,50.1,Zyklus-neutral,15.67,1427.0,76.0,3510760960.0,104343330816.0,10567577600.0,3.36,41.9,32.62,74.52,2.12,72.91,"[83.8, 31.34, 28.65, 69.91, 22.95]",16.093971,86.9,HIGH,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.7921171171171171, ""liquidity"": 0.609271523178808, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,215.18,0.40965046199814176,0.342956710559358,0.16359426490133266,3209077.05,687223830.670848,152.46601890563966,0.4045752321310401,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.25740718424789155,Basic Materials,Gold,Canada,,-1.126553618662851,122.85529589488822,78.45,30.23,0.79,"{""penalty_points"": 0.79, ""label"": ""low"", ""category"": ""Basic Materials"", ""category_share"": 0.2067, ""category_penalty"": 0.79, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,AEM,AGNICO EAGLE,CA0084741085,AEM,AEM,Edelmetalle ⛏️,Basic Materials,Gold,Canada,,214.14999389648438,215.18,-1.126553618662851,122.85529589488822,122.85529589488822,43.85,3.41,86.9,0.79,BUY,75.8,50.1,Zyklus-neutral,0.25740718424789155,0.4045752321310401,152.46601890563966,0.40965046199814176,0.342956710559358,0.16359426490133266,3209077.05,687223830.670848,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,AEM,AEM,Gold,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining",True,True
GB00B2QPKJ12,FRESNILLO PLC,FRES.L,GB00B2QPKJ12,FRES.L,FRES.L,3734.0,GBp,376.2402882265508,43.5,5.71,BUY,4472.0,5968.4,85.5,21.4,Zyklus-neutral,13.85,20456.0,90.0,1243160320.0,27399075840.0,3944284928.0,4.54,30.1,11.56,41.66,5092.0,15.79,"[60.2, 27.7, 0.0, 98.63, 15.53]",15.260902,87.6,HIGH,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.942972972972973, ""liquidity"": 0.8741721854304636, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,4140.0,0.4963342812949775,0.33631294062904127,0.20852359208523596,1470630.3,5491333540.2,2255.396827392578,0.6555844872393508,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.5301554267942084,Basic Materials,Other Precious Metals & Mining,Mexico,,-2.097535395909811,376.2402882265508,78.74,32.82,0.79,"{""penalty_points"": 0.79, ""label"": ""low"", ""category"": ""Basic Materials"", ""category_share"": 0.2067, ""category_penalty"": 0.79, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,FRES.L,FRESNILLO PLC,GB00B2QPKJ12,FRES.L,FRES.L,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Mexico,,3734.0,4140.0,-2.097535395909811,376.2402882265508,376.2402882265508,43.5,5.71,87.6,0.79,BUY,85.5,21.4,Zyklus-neutral,0.5301554267942084,0.6555844872393508,2255.396827392578,0.4963342812949775,0.33631294062904127,0.20852359208523596,1470630.3,5491333540.2,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,FRES.L,FRES.L,Other Precious Metals & Mining,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining",True,True
CA0539061030,AVINO SILVER,ASM.TO,CA0539061030,ASM.TO,ASM.TO,12.34000015258789,CAD,504.9019795754747,40.36,7.87,BUY,16.11,25.14,81.5,36.8,Zyklus-neutral,14.34,2563.0,0.0,15571250.0,2153994752.0,86065000.0,0.72,44.0,24.72,68.72,2754.0,32.98,"[88.0, 28.68, 0.0, 83.21, 1.54]",14.07,79.7,HIGH,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.9865315315315315, ""liquidity"": 0.1589403973509934, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,13.98,0.8356878831216502,0.5082669181542225,0.3621444524381038,1242281.9,15329758.835557174,6.850700002908707,0.8012758035454053,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.8198240454203727,Basic Materials,Other Precious Metals & Mining,Canada,,-7.357354089258195,504.9019795754747,81.78,57.2,0.79,"{""penalty_points"": 0.79, ""label"": ""low"", ""category"": ""Basic Materials"", ""category_share"": 0.2067, ""category_penalty"": 0.79, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,ASM.TO,AVINO SILVER,CA0539061030,ASM.TO,ASM.TO,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,,12.34000015258789,13.98,-7.357354089258195,504.9019795754747,504.9019795754747,40.36,7.87,79.7,0.79,BUY,81.5,36.8,Zyklus-neutral,0.8198240454203727,0.8012758035454053,6.850700002908707,0.8356878831216502,0.5082669181542225,0.3621444524381038,1242281.9,15329758.835557174,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,ASM.TO,ASM.TO,Other Precious Metals & Mining,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining",True,True
US8740391003,TAIWAN SEMICON.MANU.ADR/5,TSMN.MX,US8740391003,TSMN.MX,TSMN.MX,6212.0,MXN,50.15352105843902,38.97,2.45,BUY,6231.98,7734.88,62.8,81.8,Zyklus-Hoch,35.22,18187.0,116.0,619089625088.0,159076159848448.0,3809054031872.0,0.39,20.5,45.1,65.6,2618.0,16.13,"[41.0, 70.44, 0.0, 38.21, 25.0]",0.0,74.8,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.6645045045045045, ""liquidity"": 0.152317880794702, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Gehirn,5876.64,0.3710933510023098,0.2506958374582372,0.29652632270946755,2359.8,14659077.600000001,4892.734576416015,0.26963764393497147,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.1616799297737841,Technology,Semiconductors,Taiwan,,-1.3655128612257816,50.15352105843902,72.85,39.9,0.0,"{""penalty_points"": 0.0, ""label"": ""low"", ""category"": ""Technology"", ""category_share"": 0.1667, ""category_penalty"": 0.0, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,TSMN.MX,TAIWAN SEMICON.MANU.ADR/5,US8740391003,TSMN.MX,TSMN.MX,Gehirn,Technology,Semiconductors,Taiwan,,6212.0,5876.64,-1.3655128612257816,50.15352105843902,50.15352105843902,38.97,2.45,74.8,0.0,BUY,62.8,81.8,Zyklus-Hoch,0.1616799297737841,0.26963764393497147,4892.734576416015,0.3710933510023098,0.2506958374582372,0.29652632270946755,2359.8,14659077.600000001,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,TSMN.MX,TSMN.MX,Semiconductors,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis",True,True
CA32076V1031,FIRST MAJESTIC,AG.TO,CA32076V1031,AG.TO,AG.TO,29.65999984741211,CAD,289.80754759170026,37.92,6.88,BUY,38.2,54.45,75.9,36.4,Zyklus-neutral,4.21,7886.0,9.0,215490000.0,15916909568.0,965571008.0,1.35,95.1,7.07,102.17,3379.0,54.01,"[100.0, 8.42, 0.0, 83.64, 22.11]",26.672178,75.4,HIGH,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.9697747747747748, ""liquidity"": 0.26490066225165565, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,34.68,0.7015660162625628,0.4505587450500031,0.3012999364311738,2498724.8,74112177.18672484,16.878722932338714,0.7572419410111393,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.7119399679805041,Basic Materials,Silver,Canada,,-5.179030702275633,289.80754759170026,75.99,50.89,0.79,"{""penalty_points"": 0.79, ""label"": ""low"", ""category"": ""Basic Materials"", ""category_share"": 0.2067, ""category_penalty"": 0.79, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,AG.TO,FIRST MAJESTIC,CA32076V1031,AG.TO,AG.TO,Edelmetalle ⛏️,Basic Materials,Silver,Canada,,29.65999984741211,34.68,-5.179030702275633,289.80754759170026,289.80754759170026,37.92,6.88,75.4,0.79,BUY,75.9,36.4,Zyklus-neutral,0.7119399679805041,0.7572419410111393,16.878722932338714,0.7015660162625628,0.4505587450500031,0.3012999364311738,2498724.8,74112177.18672484,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,AG.TO,AG.TO,Silver,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining",True,True
US5006311063,KOREA EL. PWR ADR 1/2,KEP,US5006311063,KEP,KEP,21.690000534057617,USD,191.14095421966334,37.56,5.08,BUY,23.41,31.51,78.5,12.6,Zyklus-Tief,19.12,279916.0,45.0,1394938609664.0,127486264344576.0,97275598602240.0,1.09,5.6,8.47,14.07,481.0,1.78,"[11.2, 38.24, 0.0, 100.0, 30.73]",3.3700979,71.2,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.829009009009009, ""liquidity"": 0.13245033112582782, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Energie,21.38,0.5035705548677145,0.28450707812035886,0.15587041251756129,669117.5,14513158.932347298,14.75569995880127,0.4699404700974741,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.2943603224908946,Utilities,Utilities - Regulated Electric,South Korea,,0.7899631630008397,191.14095421966334,72.05,44.17,0.0,"{""penalty_points"": 0.0, ""label"": ""low"", ""category"": ""Utilities"", ""category_share"": 0.0267, ""category_penalty"": 0.0, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,KEP,KOREA EL. PWR ADR 1/2,US5006311063,KEP,KEP,Energie,Utilities,Utilities - Regulated Electric,South Korea,USD,21.690000534057617,21.38,0.7899631630008397,191.14095421966334,191.14095421966334,37.56,5.08,71.2,0.0,BUY,78.5,12.6,Zyklus-Tief,0.2943603224908946,0.4699404700974741,14.75569995880127,0.5035705548677145,0.28450707812035886,0.15587041251756129,669117.5,14513158.932347298,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,KEP,KEP,Utilities - Regulated Electric,Energie,pillar,45,heuristic from official taxonomy,"grid, storage, electrification",True,True
,Johnson & Johnson,JNJ,,JNJ,JNJ,243.36500549316406,USD,60.54122827987971,37.34,0.0,Seitwärts,0.0,0.0,79.0,76.2,Zyklus-neutral,35.56,57766.0,218.0,0.0,601488490496.0,94193000448.0,0.0,9.1,28.46,37.56,1.0,75.59,"[18.2, 71.12, 0.0, 23.78, 14.01]",18.998785,80.7,HIGH,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.7215315315315316, ""liquidity"": 0.7947019867549668, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Pharma 🧪,224.44,0.19087539029746478,0.15312475757973043,0.12725096859642337,9456191.4,2301306072.0054107,182.91352378845215,0.33049213886791007,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.23059923111273428,Healthcare,Drug Manufacturers - General,United States,,-0.03491125740132661,60.54122827987971,65.72,25.63,0.0,"{""penalty_points"": 0.0, ""label"": ""low"", ""category"": ""Healthcare"", ""category_share"": 0.1133, ""category_penalty"": 0.0, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,JNJ,Johnson & Johnson,,JNJ,JNJ,Pharma 🧪,Healthcare,Drug Manufacturers - General,United States,USD,243.36500549316406,224.44,-0.03491125740132661,60.54122827987971,60.54122827987971,37.34,0.0,80.7,0.0,Seitwärts,79.0,76.2,Zyklus-neutral,0.23059923111273428,0.33049213886791007,182.91352378845215,0.19087539029746478,0.15312475757973043,0.12725096859642337,9456191.4,2301306072.0054107,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,JNJ,JNJ,Drug Manufacturers - General,,none,,,,True,True
CA06849F1080,BARRICK MINING,ABX.TO,CA06849F1080,ABX.TO,ABX.TO,64.2699966430664,CAD,151.83141728090578,36.66,0.0,Seitwärts,0.0,0.0,78.7,31.3,Zyklus-neutral,20.68,14509.0,360.0,4054125056.0,114651471872.0,16956000256.0,3.54,64.5,29.45,93.95,2922.0,63.7,"[100.0, 41.36, 0.0, 68.68, 29.71]",11.472485,91.7,HIGH,"{""coverage"": 1.0, ""confluence"": 1.0, ""risk_clean"": 1.0, ""regime_align"": 0.8058558558558558, ""liquidity"": 0.5629139072847682, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,70.41,0.40718215841914757,0.32145398419405297,0.16323405848324746,6615796.45,425197215.63271064,43.59449415206909,0.4742686638105196,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.2436645785820819,Basic Materials,Gold,Canada,,-1.6074755919526007,151.83141728090578,69.94,38.17,0.79,"{""penalty_points"": 0.79, ""label"": ""low"", ""category"": ""Basic Materials"", ""category_share"": 0.2067, ""category_penalty"": 0.79, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,ABX.TO,BARRICK MINING,CA06849F1080,ABX.TO,ABX.TO,Edelmetalle ⛏️,Basic Materials,Gold,Canada,,64.2699966430664,70.41,-1.6074755919526007,151.83141728090578,151.83141728090578,36.66,0.0,91.7,0.79,Seitwärts,78.7,31.3,Zyklus-neutral,0.2436645785820819,0.4742686638105196,43.59449415206909,0.40718215841914757,0.32145398419405297,0.16323405848324746,6615796.45,425197215.63271064,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,ABX.TO,ABX.TO,Gold,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining",True,True
US02079K3059 ,ALPHABET INC.A,GOOGL,US02079K3059 ,GOOGL,GOOGL,302.2200012207031,USD,65.09964892456317,36.27,0.0,Seitwärts,0.0,0.0,75.0,4.9,Zyklus-Tief,35.71,16133.0,26.0,38088376320.0,3794015354880.0,402835996672.0,1.0,18.0,32.81,50.81,2005.0,81.35,"[36.0, 71.42, 0.0, 95.07, 21.4]",23.884943,76.3,HIGH,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 1.0, ""regime_align"": 0.6143243243243244, ""liquidity"": 0.9006622516556292, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Gehirn,335.67,0.3105069135573013,0.18514208310689956,0.21807820373034426,39525930.85,11945526869.736427,243.36454368591308,0.24184072438567328,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,0.07470206626167086,Communication Services,Internet Content & Information,United States,,-1.1448384096640507,65.09964892456317,65.05,28.64,0.0,"{""penalty_points"": 0.0, ""label"": ""low"", ""category"": ""Communication Services"", ""category_share"": 0.06, ""category_penalty"": 0.0, ""crypto_share"": 0.0, ""crypto_penalty"": 0.0}",,bull,stock,,,,0.0561018378371283,GOOGL,ALPHABET INC.A,US02079K3059,GOOGL,GOOGL,Gehirn,Communication Services,Internet Content & Information,United States,USD,302.2200012207031,335.67,-1.1448384096640507,65.09964892456317,65.09964892456317,36.27,0.0,76.3,0.0,Seitwärts,75.0,4.9,Zyklus-Tief,0.07470206626167086,0.24184072438567328,243.36454368591308,0.3105069135573013,0.18514208310689956,0.21807820373034426,39525930.85,11945526869.736427,bull,0.0561018378371283,bear,-0.3231019928707598,2026-02-17,True,True,False,OK,,,GOOGL,GOOGL,Internet Content & Information,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis",True,True
