Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags,OpportunityScore,RiskScore,ScoreError,ScoreMarketRegime,ScoreAssetClass,ScoreRiskMult,ScoreOppW,ScoreRiskW,ScoreMarketTrend200,ticker,name,isin,symbol,yahoo_symbol,category,sector,industry,country,currency,price,price_eur,perf_pct,score,crv,confidence,elliott_signal,mc_chance,cycle_status,rs3m,trend200,sma200,volatility,downside_dev,max_drawdown,avg_volume,dollar_volume,regime_stock,trend200_stock,regime_crypto,trend200_crypto,market_date,trend_ok,liquidity_ok,is_crypto,score_status,crypto_base,quote_currency,asset_id,ticker_display,cluster_official,TrendOK,LiquidityOK
WPM.TO,WHEATON PREC.,WPM.TO,208.47999572753906,CAD,41.346581184555944,43.98,3.74,BUY,214.41,269.3,76.2,38.5,Zyklus-neutral,13.05,0.099,48.0,376391360.0,87851417600.0,1830402048.0,0.43,54.5,54.72,109.22,8.089,73.33,"[100.0, 26.1, 95.05, 81.5, 16.33]",34.90334,68.6,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.36097560975609755, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA9628791027,WPM.TO,WPM.TO,Edelmetalle ⛏️,202.53,0.5014998490141769,0.35511795514263844,0.35599552664080425,714477.95,148954359.96342087,180.38633949279784,0.15574159503282625,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.29316938560566297,Basic Materials,Gold,Canada,CAD,-2.465499074835531,41.346581184555944,38.5,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",79.98,38.14,,bull,stock,,,,0.06917557953825848,WPM.TO,WHEATON PREC.,CA9628791027,WPM.TO,WPM.TO,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,208.47999572753906,202.53,41.346581184555944,43.98,3.74,68.6,BUY,76.2,Zyklus-neutral,0.29316938560566297,0.15574159503282625,180.38633949279784,0.5014998490141769,0.35511795514263844,0.35599552664080425,714477.95,148954359.96342087,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,WPM.TO,WPM.TO,Gold,True,True
AEM,AGNICO EAGLE,AEM,197.4550018310547,USD,29.548076777723086,42.43,3.41,BUY,225.0,284.12,75.8,50.1,Zyklus-neutral,15.67,1.427,76.0,3510760960.0,104343330816.0,10567577600.0,3.36,41.9,32.62,74.52,2.12,72.91,"[83.8, 31.34, 28.65, 69.91, 22.95]",16.093971,66.1,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.6097560975609756, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA0084741085,AEM,AEM,Edelmetalle ⛏️,215.18,0.4855098126260379,0.3346030506902881,0.45804423932397453,3032327.8,598748291.301358,186.61590293884277,0.05808239663135284,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.13999300943108217,Basic Materials,Gold,Canada,USD,-1.4498895839725745,29.548076777723086,50.1,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",77.56,38.02,,bull,stock,,,,0.06917557953825848,AEM,AGNICO EAGLE,CA0084741085,AEM,AEM,Edelmetalle ⛏️,Basic Materials,Gold,Canada,USD,197.4550018310547,215.18,29.548076777723086,42.43,3.41,66.1,BUY,75.8,Zyklus-neutral,0.13999300943108217,0.05808239663135284,186.61590293884277,0.4855098126260379,0.3346030506902881,0.45804423932397453,3032327.8,598748291.301358,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,AEM,AEM,Gold,True,True
JNJ,Johnson & Johnson,JNJ,267.30999755859375,USD,54.07779463228173,38.61,0.0,Seitwärts,0.0,0.0,79.0,76.2,Zyklus-neutral,35.56,57.766,218.0,0.0,601488490496.0,94193000448.0,0.0,9.1,28.46,37.56,1.0,75.59,"[18.2, 71.12, 0.0, 23.78, 14.01]",18.998785,72.9,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.7853658536585366, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US4781601046,JNJ,JNJ,Pharma 🧪,224.44,0.1917690939525518,0.1163967272302682,0.10959122461615511,6101706.55,1631047162.9837554,235.21301445007325,0.13645921414494455,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.12800829405398595,Healthcare,Drug Manufacturers - General,United States,USD,0.6514086428938803,54.07779463228173,76.2,stock,S13 Gesundheit,pillar,82.0,manual thematic assignment after stack redesign,"healthcare, pharma, medtech",66.85,23.03,,bull,stock,,,,0.06917557953825848,JNJ,Johnson & Johnson,US4781601046,JNJ,JNJ,Pharma 🧪,Healthcare,Drug Manufacturers - General,United States,USD,267.30999755859375,224.44,54.07779463228173,38.61,0.0,72.9,Seitwärts,79.0,Zyklus-neutral,0.12800829405398595,0.13645921414494455,235.21301445007325,0.1917690939525518,0.1163967272302682,0.10959122461615511,6101706.55,1631047162.9837554,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,JNJ,JNJ,Drug Manufacturers - General,True,True
NVDA,NVIDIA CORP.,NVDA,212.44500732421875,USD,19.80534508497889,37.18,0.0,Seitwärts,0.0,0.0,60.0,73.6,Zyklus-neutral,107.36,9.102,2.0,53282873344.0,4531735756800.0,187141996544.0,1.18,62.5,53.01,115.51,4.468,69.59,"[100.0, 100.0, 0.0, 26.36, 30.04]",24.441496,74.5,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.9512195121951219, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US67066G1040,NVDA,NVDA,Gehirn,186.47,0.38204728579785174,0.22322388223244757,0.20214390449746988,128432973.75,27284944048.989944,197.25684944152832,0.07699685930141853,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,-0.010794197403437344,Technology,Semiconductors,United States,USD,-2.677624326211092,19.80534508497889,73.6,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",65.98,27.18,,bull,stock,,,,0.06917557953825848,NVDA,NVIDIA CORP.,US67066G1040,NVDA,NVDA,Gehirn,Technology,Semiconductors,United States,USD,212.44500732421875,186.47,19.80534508497889,37.18,0.0,74.5,Seitwärts,60.0,Zyklus-neutral,-0.010794197403437344,0.07699685930141853,197.25684944152832,0.38204728579785174,0.22322388223244757,0.20214390449746988,128432973.75,27284944048.989944,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,NVDA,NVDA,Semiconductors,True,True
INCY,INCYTE CORP,INCY,122.4800033569336,USD,47.317782362388726,37.0,0.0,Seitwärts,0.0,0.0,66.1,14.5,Zyklus-Tief,30.39,0.887,0.0,531249760.0,18516510720.0,4813105152.0,2.87,20.0,24.7,44.7,3.195,106.03,"[40.0, 60.78, 55.65, 85.47, 21.36]",11.185932,68.7,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.37073170731707317, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US45337C1027,INCY,INCY,Pharma 🧪,103.95,0.33179908003619324,0.19746625777197419,0.18332275209380544,1257475.25,154015572.8412609,105.23210006713867,0.16390344085873654,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.18913015649550413,Healthcare,Biotechnology,United States,USD,0.831482774413872,47.317782362388726,14.5,stock,S13 Gesundheit,pillar,82.0,manual thematic assignment after stack redesign,"healthcare, pharma, medtech",66.38,29.27,,bull,stock,,,,0.06917557953825848,INCY,INCYTE CORP,US45337C1027,INCY,INCY,Pharma 🧪,Healthcare,Biotechnology,United States,USD,122.4800033569336,103.95,47.317782362388726,37.0,0.0,68.7,Seitwärts,66.1,Zyklus-Tief,0.18913015649550413,0.16390344085873654,105.23210006713867,0.33179908003619324,0.19746625777197419,0.18332275209380544,1257475.25,154015572.8412609,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,INCY,INCY,Biotechnology,True,True
GOOGL,ALPHABET INC.A,GOOGL,347.5,USD,38.46975145226348,35.89,0.0,Seitwärts,0.0,0.0,75.0,4.9,Zyklus-Tief,35.71,16.133,26.0,38088376320.0,3794015354880.0,402835996672.0,1.0,18.0,32.81,50.81,2.005,81.35,"[36.0, 71.42, 0.0, 95.07, 21.4]",23.884943,64.0,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.9024390243902439, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US02079K3059,GOOGL,GOOGL,Gehirn,335.67,0.3144648072569573,0.18480739338691482,0.21047200943300937,23225364.95,8070814320.125,336.52969772338867,0.03259831851638961,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,-0.07044292339189373,Communication Services,Internet Content & Information,United States,USD,2.6587887740029625,38.46975145226348,4.9,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",63.24,24.83,,bull,stock,,,,0.06917557953825848,GOOGL,ALPHABET INC.A,US02079K3059,GOOGL,GOOGL,Gehirn,Communication Services,Internet Content & Information,United States,USD,347.5,335.67,38.46975145226348,35.89,0.0,64.0,Seitwärts,75.0,Zyklus-Tief,-0.07044292339189373,0.03259831851638961,336.52969772338867,0.3144648072569573,0.18480739338691482,0.21047200943300937,23225364.95,8070814320.125,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,GOOGL,GOOGL,Internet Content & Information,True,True
AAPL,Apple Inc.,AAPL,334.5199890136719,USD,41.8486239006993,35.72,0.0,Seitwärts,0.0,0.0,58.9,84.3,Zyklus-Hoch,152.02,102.63,38.0,106312753152.0,4041536438272.0,435617005568.0,2.63,15.7,27.04,42.74,0.974,65.09,"[31.4, 100.0, 0.0, 15.71, 13.81]",29.453894,67.7,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.9317073170731708, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US0378331005,AAPL,AAPL,,,0.25066062689409735,0.18347652203297746,0.13798523953754416,42367524.45,14172783813.550476,284.8336419677734,0.17443988253157272,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.11761742717452828,Technology,Consumer Electronics,United States,USD,0.6771601632392432,41.8486239006993,84.3,stock,S14 Kommunikations- & Alltagsinfrastruktur,pillar,76.0,manual thematic assignment after stack redesign,"connectivity, telecom, civic infrastructure",63.99,27.95,,bull,stock,,,,0.06917557953825848,AAPL,Apple Inc.,US0378331005,AAPL,AAPL,,Technology,Consumer Electronics,United States,USD,334.5199890136719,,41.8486239006993,35.72,0.0,67.7,Seitwärts,58.9,Zyklus-Hoch,0.11761742717452828,0.17443988253157272,284.8336419677734,0.25066062689409735,0.18347652203297746,0.13798523953754416,42367524.45,14172783813.550476,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,AAPL,AAPL,Consumer Electronics,True,True
MSFT,MICROSOFT DL,MSFT,506.2200012207031,USD,-0.965341845583878,35.37,0.0,Seitwärts,0.0,0.0,53.6,43.2,Zyklus-neutral,34.39,31.539,88.0,53640626176.0,3102605836288.0,305453006848.0,1.73,16.7,39.04,55.74,1.386,76.1,"[33.4, 68.78, 0.0, 56.83, 36.18]",21.908993,74.1,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.9121951219512195, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US5949181045,MSFT,MSFT,Gehirn,481.15,0.32552151665846973,0.206984064585557,0.3449839013222916,20740774.0,10499394639.598328,429.8299913024902,0.17772145142020568,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.2568039253353491,Technology,Software - Infrastructure,United States,USD,2.136673775510123,-0.965341845583878,43.2,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",64.65,31.71,,bull,stock,,,,0.06917557953825848,MSFT,MICROSOFT DL,US5949181045,MSFT,MSFT,Gehirn,Technology,Software - Infrastructure,United States,USD,506.2200012207031,481.15,-0.965341845583878,35.37,0.0,74.1,Seitwärts,53.6,Zyklus-neutral,0.2568039253353491,0.17772145142020568,429.8299913024902,0.32552151665846973,0.206984064585557,0.3449839013222916,20740774.0,10499394639.598328,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,MSFT,MSFT,Software - Infrastructure,True,True
NEM.AX,NEWMONT CORP.,NEM.AX,175.60000610351562,AUD,50.25091820120171,34.9,0.0,Seitwärts,0.0,0.0,76.4,43.9,Zyklus-neutral,22.88,16.914,90.0,9337749504.0,182633725952.0,21503000576.0,5.11,20.0,33.42,53.42,2.039,11.57,"[40.0, 45.76, 0.0, 56.08, 21.98]",13.116383,67.7,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.2731707317073171, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",AU0000297962,NEM.AX,NEM.AX,Edelmetalle ⛏️,180.94,0.4794262726314583,0.3317994554468669,0.3160712644519542,376569.55,66125615.278398134,155.85260955810546,0.1267055880642658,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.18297208900945816,Basic Materials,Gold,United States,AUD,0.5669809803009462,50.25091820120171,43.9,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",68.49,45.81,,bull,stock,,,,0.06917557953825848,NEM.AX,NEWMONT CORP.,AU0000297962,NEM.AX,NEM.AX,Edelmetalle ⛏️,Basic Materials,Gold,United States,AUD,175.60000610351562,180.94,50.25091820120171,34.9,0.0,67.7,Seitwärts,76.4,Zyklus-neutral,0.18297208900945816,0.1267055880642658,155.85260955810546,0.4794262726314583,0.3317994554468669,0.3160712644519542,376569.55,66125615.278398134,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,NEM.AX,NEM.AX,Gold,True,True
ABX.TO,BARRICK MINING,ABX.TO,59.2400016784668,CAD,51.19740129224646,34.17,0.0,Seitwärts,0.0,0.0,78.7,31.3,Zyklus-neutral,20.68,14.509,360.0,4054125056.0,114651471872.0,16956000256.0,3.54,64.5,29.45,93.95,2.922,63.7,"[100.0, 41.36, 0.0, 68.68, 29.71]",11.472485,64.6,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.46341463414634143, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA06849F1080,ABX.TO,ABX.TO,Edelmetalle ⛏️,70.41,0.4864895261022216,0.3324158578024194,0.31061419846456595,4025803.05,238488579.43917674,58.61251789093018,0.010705627570961607,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,0.05484298026226986,Basic Materials,Gold,Canada,CAD,-2.115001271670802,51.19740129224646,31.3,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",66.73,43.82,,bull,stock,,,,0.06917557953825848,ABX.TO,BARRICK MINING,CA06849F1080,ABX.TO,ABX.TO,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,59.2400016784668,70.41,51.19740129224646,34.17,0.0,64.6,Seitwärts,78.7,Zyklus-neutral,0.05484298026226986,0.010705627570961607,58.61251789093018,0.4864895261022216,0.3324158578024194,0.31061419846456595,4025803.05,238488579.43917674,bull,0.06917557953825848,bull,0.1264899731660576,2026-09-14,True,True,False,OK,,,ABX.TO,ABX.TO,Gold,True,True
