Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags,OpportunityScore,RiskScore,ScoreError,ScoreMarketRegime,ScoreAssetClass,ScoreRiskMult,ScoreOppW,ScoreRiskW,ScoreMarketTrend200,ticker,name,isin,symbol,yahoo_symbol,category,sector,industry,country,currency,price,price_eur,perf_pct,score,crv,confidence,elliott_signal,mc_chance,cycle_status,rs3m,trend200,sma200,volatility,downside_dev,max_drawdown,avg_volume,dollar_volume,regime_stock,trend200_stock,regime_crypto,trend200_crypto,market_date,trend_ok,liquidity_ok,is_crypto,score_status,crypto_base,quote_currency,asset_id,ticker_display,cluster_official,TrendOK,LiquidityOK
WPM.TO,WHEATON PREC.,WPM.TO,198.1699981689453,CAD,72.83199120833434,41.03,3.74,BUY,214.41,269.3,76.2,38.5,Zyklus-neutral,13.05,0.099,48.0,376391360.0,87851417600.0,1830402048.0,0.43,54.5,54.72,109.22,8.089,73.33,"[100.0, 26.1, 95.05, 81.5, 16.33]",34.90334,63.9,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.39226519337016574, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA9628791027,WPM.TO,WPM.TO,Edelmetalle ⛏️,202.53,0.41965954933470934,0.35819207229718697,0.30691846648186205,758790.95,150369601.17211226,160.97275661468507,0.23107786892969728,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,-0.031635430855063484,Basic Materials,Gold,Canada,CAD,2.1494835922398536,72.83199120833434,38.5,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",76.02,39.9,,bull,stock,,,,0.06782485497718804,WPM.TO,WHEATON PREC.,CA9628791027,WPM.TO,WPM.TO,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,198.1699981689453,202.53,72.83199120833434,41.03,3.74,63.9,BUY,76.2,Zyklus-neutral,-0.031635430855063484,0.23107786892969728,160.97275661468507,0.41965954933470934,0.35819207229718697,0.30691846648186205,758790.95,150369601.17211226,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,WPM.TO,WPM.TO,Gold,True,True
AEM,AGNICO EAGLE,AEM,204.47000122070312,USD,70.58433728229649,40.88,3.41,BUY,225.0,284.12,75.8,50.1,Zyklus-neutral,15.67,1.427,76.0,3510760960.0,104343330816.0,10567577600.0,3.36,41.9,32.62,74.52,2.12,72.91,"[83.8, 31.34, 28.65, 69.91, 22.95]",16.093971,60.6,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.56353591160221, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA0084741085,AEM,AEM,Edelmetalle ⛏️,215.18,0.430053585355748,0.3528928752530268,0.2897021961668306,2265440.35,463214591.12993014,174.3530076980591,0.17273572690412098,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,-0.07423870374257291,Basic Materials,Gold,Canada,USD,0.6795041152674708,70.58433728229649,50.1,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",74.84,36.97,,bull,stock,,,,0.06782485497718804,AEM,AGNICO EAGLE,CA0084741085,AEM,AEM,Edelmetalle ⛏️,Basic Materials,Gold,Canada,USD,204.47000122070312,215.18,70.58433728229649,40.88,3.41,60.6,BUY,75.8,Zyklus-neutral,-0.07423870374257291,0.17273572690412098,174.3530076980591,0.430053585355748,0.3528928752530268,0.2897021961668306,2265440.35,463214591.12993014,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,AEM,AEM,Gold,True,True
TSMN.MX,TAIWAN SEMICON.MANU.ADR/5,TSMN.MX,6486.39990234375,MXN,118.63791926945066,39.83,2.45,BUY,6231.98,7734.88,62.8,81.8,Zyklus-Hoch,35.22,18.187,116.0,619089625088.0,159076159848448.0,3809054031872.0,0.39,20.5,45.1,65.6,2.618,16.13,"[41.0, 70.44, 0.0, 38.21, 25.0]",0.0,71.4,MED,"{""coverage"": 1.0, ""confluence"": 1.0, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.13812154696132595, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US8740391003,TSMN.MX,TSMN.MX,Gehirn,5876.64,0.3346142726823777,0.21132885803102935,0.14087401729759363,1967.0,12758748.607910156,5391.07953125,0.20317273465260555,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,0.04636560580244353,Technology,Semiconductors,Taiwan,MXN,1.6213567723871947,118.63791926945066,81.8,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",71.13,30.51,,bull,stock,,,,0.06782485497718804,TSMN.MX,TAIWAN SEMICON.MANU.ADR/5,US8740391003,TSMN.MX,TSMN.MX,Gehirn,Technology,Semiconductors,Taiwan,MXN,6486.39990234375,5876.64,118.63791926945066,39.83,2.45,71.4,BUY,62.8,Zyklus-Hoch,0.04636560580244353,0.20317273465260555,5391.07953125,0.3346142726823777,0.21132885803102935,0.14087401729759363,1967.0,12758748.607910156,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,TSMN.MX,TSMN.MX,Semiconductors,True,True
FRES.L,FRESNILLO PLC,FRES.L,3627.0,GBp,249.11724251702384,38.08,5.71,BUY,4472.0,5968.4,85.5,21.4,Zyklus-neutral,13.85,20.456,90.0,1243160320.0,27399075840.0,3944284928.0,4.54,30.1,11.56,41.66,5.092,15.79,"[60.2, 27.7, 0.0, 98.63, 15.53]",15.260902,57.0,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.861878453038674, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",GB00B2QPKJ12,FRES.L,FRES.L,Edelmetalle ⛏️,4140.0,0.5231342759971656,0.3306617996885709,0.31025179856115104,922900.65,3347360657.55,2765.4072033691405,0.3115609142773501,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,-0.14264559242101982,Basic Materials,Other Precious Metals & Mining,Mexico,GBp,1.0025062656641603,249.11724251702384,21.4,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",71.5,39.97,,bull,stock,,,,0.06782485497718804,FRES.L,FRESNILLO PLC,GB00B2QPKJ12,FRES.L,FRES.L,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Mexico,GBp,3627.0,4140.0,249.11724251702384,38.08,5.71,57.0,BUY,85.5,Zyklus-neutral,-0.14264559242101982,0.3115609142773501,2765.4072033691405,0.5231342759971656,0.3306617996885709,0.31025179856115104,922900.65,3347360657.55,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,FRES.L,FRES.L,Other Precious Metals & Mining,True,True
NVDA,NVIDIA CORP.,NVDA,201.47999572753906,USD,103.78954422433932,37.49,0.0,Seitwärts,0.0,0.0,60.0,73.6,Zyklus-neutral,107.36,9.102,2.0,53282873344.0,4531735756800.0,187141996544.0,1.18,62.5,53.01,115.51,4.468,69.59,"[100.0, 100.0, 0.0, 26.36, 30.04]",24.441496,74.6,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.9558011049723757, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US67066G1040,NVDA,NVDA,Gehirn,186.47,0.3364822304750193,0.20560502121143187,0.20214387999661532,148675858.5,29955211335.368202,182.40067260742188,0.10460116647256723,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,0.0572762731088694,Technology,Semiconductors,United States,USD,0.8004756882333597,103.78954422433932,73.6,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",66.84,28.35,,bull,stock,,,,0.06782485497718804,NVDA,NVIDIA CORP.,US67066G1040,NVDA,NVDA,Gehirn,Technology,Semiconductors,United States,USD,201.47999572753906,186.47,103.78954422433932,37.49,0.0,74.6,Seitwärts,60.0,Zyklus-neutral,0.0572762731088694,0.10460116647256723,182.40067260742188,0.3364822304750193,0.20560502121143187,0.20214387999661532,148675858.5,29955211335.368202,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,NVDA,NVDA,Semiconductors,True,True
GOOGL,ALPHABET INC.A,GOOGL,337.69000244140625,USD,123.714864193727,37.4,0.0,Seitwärts,0.0,0.0,75.0,4.9,Zyklus-Tief,35.71,16.133,26.0,38088376320.0,3794015354880.0,402835996672.0,1.0,18.0,32.81,50.81,2.005,81.35,"[36.0, 71.42, 0.0, 95.07, 21.4]",23.884943,68.9,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.8895027624309392, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US02079K3059,GOOGL,GOOGL,Gehirn,335.67,0.2853212650350757,0.16296618262359694,0.2036645805550895,26266764.7,8870023835.670843,274.60161155700683,0.22974515891106617,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,-0.010456153608876528,Communication Services,Internet Content & Information,United States,USD,1.6250846422167786,123.714864193727,4.9,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",65.93,26.0,,bull,stock,,,,0.06782485497718804,GOOGL,ALPHABET INC.A,US02079K3059,GOOGL,GOOGL,Gehirn,Communication Services,Internet Content & Information,United States,USD,337.69000244140625,335.67,123.714864193727,37.4,0.0,68.9,Seitwärts,75.0,Zyklus-Tief,-0.010456153608876528,0.22974515891106617,274.60161155700683,0.2853212650350757,0.16296618262359694,0.2036645805550895,26266764.7,8870023835.670843,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,GOOGL,GOOGL,Internet Content & Information,True,True
JNJ,Johnson & Johnson,JNJ,225.27999877929688,USD,46.78715104999797,36.62,0.0,Seitwärts,0.0,0.0,79.0,76.2,Zyklus-neutral,35.56,57.766,218.0,0.0,601488490496.0,94193000448.0,0.0,9.1,28.46,37.56,1.0,75.59,"[18.2, 71.12, 0.0, 23.78, 14.01]",18.998785,62.7,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.7734806629834254, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US4781601046,JNJ,JNJ,Pharma 🧪,224.44,0.16698541432262562,0.09833512087392882,0.09365947460555879,7188265.0,1619372330.4252625,202.21892112731933,0.11404015768365228,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,0.003751688131629516,Healthcare,Drug Manufacturers - General,United States,USD,-0.3891072110731253,46.78715104999797,76.2,stock,S13 Gesundheit,pillar,82.0,manual thematic assignment after stack redesign,"healthcare, pharma, medtech",63.73,22.9,,bull,stock,,,,0.06782485497718804,JNJ,Johnson & Johnson,US4781601046,JNJ,JNJ,Pharma 🧪,Healthcare,Drug Manufacturers - General,United States,USD,225.27999877929688,224.44,46.78715104999797,36.62,0.0,62.7,Seitwärts,79.0,Zyklus-neutral,0.003751688131629516,0.11404015768365228,202.21892112731933,0.16698541432262562,0.09833512087392882,0.09365947460555879,7188265.0,1619372330.4252625,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,JNJ,JNJ,Drug Manufacturers - General,True,True
TER,TERADYNE INC.,TER,380.9849853515625,USD,436.396545636625,36.02,0.0,Seitwärts,0.0,0.0,72.8,86.1,Zyklus-Hoch,19.73,10.131,17.0,276822624.0,47649693696.0,3190023936.0,0.58,43.9,17.37,61.27,1.757,105.27,"[87.8, 39.46, 0.0, 13.9, 5.44]",38.050655,70.5,MED,"{""coverage"": 1.0, ""confluence"": 1.0, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.7182320441988951, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US8807701029,TER,TER,Hardware 💻,239.62,0.5815720768246694,0.31307810169380196,0.20351793372802096,2669529.1,1017050505.0590699,199.5953578186035,0.9087868050408754,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,0.6305620228049167,Technology,Semiconductor Equipment & Materials,United States,USD,0.2776808086013771,436.396545636625,86.1,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",69.18,42.6,,bull,stock,,,,0.06782485497718804,TER,TERADYNE INC.,US8807701029,TER,TER,Hardware 💻,Technology,Semiconductor Equipment & Materials,United States,USD,380.9849853515625,239.62,436.396545636625,36.02,0.0,70.5,Seitwärts,72.8,Zyklus-Hoch,0.6305620228049167,0.9087868050408754,199.5953578186035,0.5815720768246694,0.31307810169380196,0.20351793372802096,2669529.1,1017050505.0590699,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,TER,TER,Semiconductor Equipment & Materials,True,True
MU,MICRON TECHNOLOGY INC,MU,474.2799987792969,USD,577.1332561414898,35.99,0.0,Seitwärts,0.0,0.0,76.3,0.0,Zyklus-Tief,22.55,21.244,12.0,444249984.0,422271320064.0,42311999488.0,0.11,56.7,28.15,84.85,2.46,83.37,"[100.0, 45.1, 0.0, 100.0, 21.56]",8.597669,72.7,MED,"{""coverage"": 1.0, ""confluence"": 1.0, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.9337016574585635, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US5951121038,MU,MU,Tech 💻,414.04,0.5880434125478152,0.3473717603965747,0.3027631751559945,45810048.75,21726789865.22953,263.10815231323244,0.8026047258872564,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,0.1606117941288001,Technology,Semiconductors,United States,USD,5.540966136884018,577.1332561414898,0.0,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",70.75,47.63,,bull,stock,,,,0.06782485497718804,MU,MICRON TECHNOLOGY INC,US5951121038,MU,MU,Tech 💻,Technology,Semiconductors,United States,USD,474.2799987792969,414.04,577.1332561414898,35.99,0.0,72.7,Seitwärts,76.3,Zyklus-Tief,0.1606117941288001,0.8026047258872564,263.10815231323244,0.5880434125478152,0.3473717603965747,0.3027631751559945,45810048.75,21726789865.22953,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,MU,MU,Semiconductors,True,True
ASM.TO,AVINO SILVER,ASM.TO,9.819999694824219,CAD,267.7902402330537,35.14,7.87,BUY,16.11,25.14,81.5,36.8,Zyklus-neutral,14.34,2.563,0.0,15571250.0,2153994752.0,86065000.0,0.72,44.0,24.72,68.72,2.754,32.98,"[88.0, 28.68, 0.0, 83.21, 1.54]",14.07,47.7,LOW,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.09944751381215466, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA0539061030,ASM.TO,ASM.TO,Edelmetalle ⛏️,13.98,0.8031279010148558,0.5357094763484103,0.5203145437830872,879813.4,8639767.319502259,8.153499991893769,0.20439071620620441,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,-0.12016720430958072,Basic Materials,Other Precious Metals & Mining,Canada,CAD,2.6123302818411576,267.7902402330537,36.8,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",73.58,60.42,,bull,stock,,,,0.06782485497718804,ASM.TO,AVINO SILVER,CA0539061030,ASM.TO,ASM.TO,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,CAD,9.819999694824219,13.98,267.7902402330537,35.14,7.87,47.7,BUY,81.5,Zyklus-neutral,-0.12016720430958072,0.20439071620620441,8.153499991893769,0.8031279010148558,0.5357094763484103,0.5203145437830872,879813.4,8639767.319502259,bull,0.06782485497718804,bear,-0.07959779109595067,2026-04-22,True,True,False,OK,,,ASM.TO,ASM.TO,Other Precious Metals & Mining,True,True
