Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags,OpportunityScore,RiskScore,ScoreError,ScoreMarketRegime,ScoreAssetClass,ScoreRiskMult,ScoreOppW,ScoreRiskW,ScoreMarketTrend200,ticker,name,isin,symbol,yahoo_symbol,category,sector,industry,country,currency,price,price_eur,perf_pct,score,crv,confidence,elliott_signal,mc_chance,cycle_status,rs3m,trend200,sma200,volatility,downside_dev,max_drawdown,avg_volume,dollar_volume,regime_stock,trend200_stock,regime_crypto,trend200_crypto,market_date,trend_ok,liquidity_ok,is_crypto,score_status,crypto_base,quote_currency,asset_id,ticker_display,cluster_official
1810.HK,XIAOMI CORP. CL.B,1810.HK,32.439998626708984,HKD,-37.25338849518312,0.0,0.0,Seitwärts,0.0,0.0,46.9,100.0,Zyklus-Hoch,19.86,10.389,0.0,32390629376.0,839264567296.0,449375305728.0,3.86,22.3,9.82,32.12,1.317,24.94,"[44.6, 39.72, 0.0, 0.0, 42.06]",18.211044,69.3,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.606885593220339, ""liquidity"": 0.8813559322033898, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",KYG9830T1067,1810.HK,1810.HK,Hardware 💻,35.56,0.44096411025328425,0.34979000055564946,0.47497923320718305,212068270.9,6879494416.764549,46.01820004463196,-0.29506154966412856,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,-0.15207696523520775,Technology,Consumer Electronics,China,HKD,-0.2460080871111714,-37.25338849518312,100.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",46.35,46.15,,bear,stock,,,,-0.02836744942169689,1810.HK,XIAOMI CORP. CL.B,KYG9830T1067,1810.HK,1810.HK,Hardware 💻,Technology,Consumer Electronics,China,HKD,32.439998626708984,35.56,-37.25338849518312,0.0,0.0,69.3,Seitwärts,46.9,Zyklus-Hoch,-0.15207696523520775,-0.29506154966412856,46.01820004463196,0.44096411025328425,0.34979000055564946,0.47497923320718305,212068270.9,6879494416.764549,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,False,True,False,AVOID,,,1810.HK,1810.HK,Consumer Electronics
6503.T,MITSUBISHI EL.,6503.T,5456.0,JPY,88.92292563963748,14.09,0.09,BUY,5152.0,5863.86,79.6,100.0,Zyklus-Hoch,9.51,8.262,95.0,252386869248.0,11700824702976.0,5677370048512.0,2.16,4.9,6.59,11.49,1.988,49.55,"[9.8, 19.02, 0.0, 20.0, 0.0]",35.206493,74.9,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 1.0, ""regime_align"": 0.5185734463276837, ""liquidity"": 0.9548022598870056, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",JP3902400005,6503.T,6503.T,Hardware 💻,4886.0,0.38443126583145043,0.24061900159010532,0.21551428839050735,6541400.0,35689878400.0,4173.918699951172,0.3071648952011994,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,0.21090824840503297,Industrials,Electrical Equipment & Parts,Japan,JPY,-1.498465426972373,88.92292563963748,100.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",56.77,24.5,,bear,stock,,,,-0.02836744942169689,6503.T,MITSUBISHI EL.,JP3902400005,6503.T,6503.T,Hardware 💻,Industrials,Electrical Equipment & Parts,Japan,JPY,5456.0,4886.0,88.92292563963748,14.09,0.09,74.9,BUY,79.6,Zyklus-Hoch,0.21090824840503297,0.3071648952011994,4173.918699951172,0.38443126583145043,0.24061900159010532,0.21551428839050735,6541400.0,35689878400.0,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,True,True,False,OK,,,6503.T,6503.T,Electrical Equipment & Parts
6861.T,KEYENCE CORP.,6861.T,57730.0,JPY,-5.738336196370986,2.25,0.0,Seitwärts,0.0,0.0,45.7,38.5,Zyklus-neutral,0.0,100.0,97.0,0.0,12400190291968.0,1118560059392.0,0.0,0.0,0.0,0.0,13.552,35.37,"[0.0, 0.0, 0.0, 61.55, 21.55]",30.325748,55.8,MED,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.3949858757062147, ""liquidity"": 0.96045197740113, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",JP3236200006,6861.T,6861.T,Hardware 💻,58890.0,0.3470827489595595,0.21138328435598472,0.18273017382274304,757165.0,43711135450.0,57019.17533203125,0.012466414391816727,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,0.08560546907021094,Technology,Scientific & Technical Instruments,Japan,JPY,-0.48267540079296456,-5.738336196370986,38.5,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",37.95,31.72,,bear,stock,,,,-0.02836744942169689,6861.T,KEYENCE CORP.,JP3236200006,6861.T,6861.T,Hardware 💻,Technology,Scientific & Technical Instruments,Japan,JPY,57730.0,58890.0,-5.738336196370986,2.25,0.0,55.8,Seitwärts,45.7,Zyklus-neutral,0.08560546907021094,0.012466414391816727,57019.17533203125,0.3470827489595595,0.21138328435598472,0.18273017382274304,757165.0,43711135450.0,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,True,True,False,OK,,,6861.T,6861.T,Scientific & Technical Instruments
9880.HK,UBTECH ROBOT.CORP.,9880.HK,90.75,HKD,6.389210730667005,0.0,0.0,Seitwärts,0.0,0.0,62.0,14.4,Zyklus-Tief,-48.53,57.216,0.0,-506247008.0,56993132544.0,1439591936.0,-0.89,27.6,-70.91,-43.31,1.495,16.68,"[55.2, 0.0, 0.0, 85.56, 72.86]",-73.768105,45.2,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.12235169491525426, ""liquidity"": 0.6101694915254238, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CNE100006CQ4,9880.HK,9880.HK,Hardware 💻,141.1,0.6463567736489837,0.4683897397848103,0.4245402551923667,6918045.35,627812615.5124999,112.84675010681153,-0.19581202015916754,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,-0.1093230130447419,Industrials,Specialty Industrial Machinery,China,HKD,-3.764584238464286,6.389210730667005,14.4,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",40.02,61.87,,bear,stock,,,,-0.02836744942169689,9880.HK,UBTECH ROBOT.CORP.,CNE100006CQ4,9880.HK,9880.HK,Hardware 💻,Industrials,Specialty Industrial Machinery,China,HKD,90.75,141.1,6.389210730667005,0.0,0.0,45.2,Seitwärts,62.0,Zyklus-Tief,-0.1093230130447419,-0.19581202015916754,112.84675010681153,0.6463567736489837,0.4683897397848103,0.4245402551923667,6918045.35,627812615.5124999,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,False,True,False,AVOID,,,9880.HK,9880.HK,Specialty Industrial Machinery
ABBN.SW,ABB LTD. NA,ABBN.SW,63.13999938964844,CHF,35.36340898042929,11.98,0.0,Seitwärts,0.0,0.0,64.9,82.3,Zyklus-Hoch,29.33,55.485,131.0,880625024.0,127925157888.0,33219999744.0,0.69,5.4,14.25,19.65,1.558,56.54,"[10.8, 58.66, 0.0, 17.74, 6.46]",27.666952,80.1,HIGH,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.7978460451977402, ""liquidity"": 0.41807909604519766, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CH0012221716,ABBN.SW,ABBN.SW,Hardware 💻,61.46,0.2793354946913572,0.178015036206987,0.17312909358915562,2816014.45,177803150.6542412,57.17080856323242,0.10440976743951302,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,0.15111957566418044,Industrials,Electrical Equipment & Parts,Switzerland,CHF,-2.3205445763667676,35.36340898042929,82.3,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",59.06,31.23,,bear,stock,,,,-0.02836744942169689,ABBN.SW,ABB LTD. NA,CH0012221716,ABBN.SW,ABBN.SW,Hardware 💻,Industrials,Electrical Equipment & Parts,Switzerland,CHF,63.13999938964844,61.46,35.36340898042929,11.98,0.0,80.1,Seitwärts,64.9,Zyklus-Hoch,0.15111957566418044,0.10440976743951302,57.17080856323242,0.2793354946913572,0.178015036206987,0.17312909358915562,2816014.45,177803150.6542412,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,True,True,False,OK,,,ABBN.SW,ABBN.SW,Electrical Equipment & Parts
ABT,Abbott Laboratories,ABT,105.06999969482422,USD,-18.506663267692414,5.81,0.0,Seitwärts,0.0,0.0,40.7,80.8,Zyklus-Hoch,13.16,25.31,224.0,0.0,200792539136.0,44328001536.0,0.0,4.4,14.72,19.12,1.0,81.66,"[8.8, 26.32, 0.0, 19.21, 25.41]",17.985203,67.2,MED,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 1.0, ""regime_align"": 0.743891242937853, ""liquidity"": 0.7344632768361582, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US0028241000,ABT,ABT,Pharma 🧪,107.46,0.2309473893821526,0.20724147097169432,0.23577821588767067,12074083.0,1268623897.1252823,124.14536033630371,-0.1536534316691761,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,-0.08276333343103348,Healthcare,Medical Devices,United States,USD,0.4781486099829646,-18.506663267692414,80.8,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",42.18,28.17,,bear,stock,,,,-0.02836744942169689,ABT,Abbott Laboratories,US0028241000,ABT,ABT,Pharma 🧪,Healthcare,Medical Devices,United States,USD,105.06999969482422,107.46,-18.506663267692414,5.81,0.0,67.2,Seitwärts,40.7,Zyklus-Hoch,-0.08276333343103348,-0.1536534316691761,124.14536033630371,0.2309473893821526,0.20724147097169432,0.23577821588767067,12074083.0,1268623897.1252823,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,False,True,False,OK,,,ABT,ABT,Medical Devices
AUTO.OL,AUTOSTORE HOLDINGS,AUTO.OL,9.130000114440918,NOK,-7.9172955162109755,0.0,0.0,Seitwärts,0.0,0.0,53.0,43.6,Zyklus-neutral,5.71,35.222,0.0,163850000.0,39791874048.0,523800000.0,0.41,-3.6,15.48,11.88,4.24,95.1,"[0.0, 11.42, 0.0, 56.35, 8.19]",28.716442,42.0,LOW,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.3955861581920904, ""liquidity"": 0.24293785310734461, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",BMG0670A1099,AUTO.OL,AUTO.OL,Hardware 💻,11.83,0.7069962294882429,0.5072961245749131,0.531013604310858,6151598.55,56164095.46549458,9.567575025558472,-0.04573519517209246,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,-0.07477431221237141,Technology,Computer Hardware,Norway,NOK,-8.333332535413064,-7.9172955162109755,43.6,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",40.74,68.44,,bear,stock,,,,-0.02836744942169689,AUTO.OL,AUTOSTORE HOLDINGS,BMG0670A1099,AUTO.OL,AUTO.OL,Hardware 💻,Technology,Computer Hardware,Norway,NOK,9.130000114440918,11.83,-7.9172955162109755,0.0,0.0,42.0,Seitwärts,53.0,Zyklus-neutral,-0.07477431221237141,-0.04573519517209246,9.567575025558472,0.7069962294882429,0.5072961245749131,0.531013604310858,6151598.55,56164095.46549458,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,False,True,False,AVOID,,,AUTO.OL,AUTO.OL,Computer Hardware
CGNX,COGNEX CORP.,CGNX,48.15999984741211,USD,57.93041849852418,3.14,1.15,BUY,42.33,48.59,56.8,94.1,Zyklus-Hoch,7.21,5.298,78.0,180942256.0,7082582016.0,971705024.0,2.55,18.0,11.33,29.33,3.964,100.6,"[36.0, 14.42, 0.0, 25.87, 10.85]",38.553066,60.1,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.42221045197740115, ""liquidity"": 0.33333333333333326, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US1924221039,CGNX,CGNX,Hardware 💻,39.72,0.6016957145394483,0.34905411339704173,0.278642238192903,1931179.35,93005597.20132542,41.53888018608093,0.15939571870186864,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,0.3909366280800307,Technology,Scientific & Technical Instruments,United States,USD,-2.371785810285598,57.93041849852418,94.1,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",52.19,43.53,,bear,stock,,,,-0.02836744942169689,CGNX,COGNEX CORP.,US1924221039,CGNX,CGNX,Hardware 💻,Technology,Scientific & Technical Instruments,United States,USD,48.15999984741211,39.72,57.93041849852418,3.14,1.15,60.1,BUY,56.8,Zyklus-Hoch,0.3909366280800307,0.15939571870186864,41.53888018608093,0.6016957145394483,0.34905411339704173,0.278642238192903,1931179.35,93005597.20132542,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,True,True,False,OK,,,CGNX,CGNX,Scientific & Technical Instruments
FANUY,FANUC CORP.,FANUY,17.229999542236328,USD,19.552128921482414,0.83,0.0,Seitwärts,0.0,0.0,66.4,60.4,Zyklus-neutral,9.37,100.0,153.0,0.0,-659248840704.0,835426975744.0,-0.0,9.5,19.35,28.85,6.859,0.26,"[19.0, 18.74, 0.0, 39.61, 5.97]",33.14925,56.2,MED,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.6046610169491525, ""liquidity"": 0.07909604519774016, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US3073051027,FANUY,FANUY,Hardware 💻,20.6,0.41079836213851,0.24526686032610526,0.24299840804181727,391938.5,6753100.175584793,16.78645001411438,0.026423069067551763,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,-0.02609719867529181,Industrials,Specialty Industrial Machinery,Japan,USD,-3.9040755773851687,19.552128921482414,60.4,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",53.5,49.72,,bear,stock,,,,-0.02836744942169689,FANUY,FANUC CORP.,US3073051027,FANUY,FANUY,Hardware 💻,Industrials,Specialty Industrial Machinery,Japan,USD,17.229999542236328,20.6,19.552128921482414,0.83,0.0,56.2,Seitwärts,66.4,Zyklus-neutral,-0.02609719867529181,0.026423069067551763,16.78645001411438,0.41079836213851,0.24526686032610526,0.24299840804181727,391938.5,6753100.175584793,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,True,True,False,OK,,,FANUY,FANUY,Specialty Industrial Machinery
GMED,Globus Medical,GMED,83.72000122070312,USD,13.657340562648667,0.94,0.0,Seitwärts,0.0,0.0,53.2,24.1,Zyklus-neutral,10.01,2.731,0.0,445762752.0,11603802112.0,2769804032.0,3.84,22.9,15.3,38.2,4.13,106.79,"[45.8, 20.02, 0.0, 75.85, 24.94]",20.902147,61.5,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.506108757062147, ""liquidity"": 0.30508474576271194, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US3795772082,GMED,GMED,Pharma 🧪,,0.5351106941324336,0.3525047380420474,0.3127152398722062,938173.1,78543853.07723083,73.05834987640381,0.14593337191896794,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,0.018287720502414118,Healthcare,Medical Devices,United States,USD,-3.213871421152459,13.657340562648667,24.1,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",54.2,50.17,,bear,stock,,,,-0.02836744942169689,GMED,Globus Medical,US3795772082,GMED,GMED,Pharma 🧪,Healthcare,Medical Devices,United States,USD,83.72000122070312,,13.657340562648667,0.94,0.0,61.5,Seitwärts,53.2,Zyklus-neutral,0.018287720502414118,0.14593337191896794,73.05834987640381,0.5351106941324336,0.3525047380420474,0.3127152398722062,938173.1,78543853.07723083,bear,-0.02836744942169689,bear,-0.27862420895453655,2026-03-27,True,True,False,OK,,,GMED,GMED,Medical Devices
