active,symbol,name,isin,asset_type,category,sector,industry,country,currency,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags
1,ABBN.SW,ABB LTD. NA,CH0012221716,stock,Hardware 💻,Industrials,Electrical Equipment & Parts,Switzerland,CHF,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,AAGFF,AFTERMATH SILVER,CA00831V2057,stock,Edelmetalle ⛏️,Basic Materials,Other Industrial Metals & Mining,Canada,USD,Fundament,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,AEM,AGNICO EAGLE,CA0084741085,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,AGI.TO,ALAMOS GOLD,CA0115321089,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,ALB,ALBEMARLE CORP.,US0126531013,stock,Energie,Basic Materials,Specialty Chemicals,United States,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,ALV.DE,ALLIANZ SE,DE0008404005,stock,Finanzen,Financial Services,Insurance - Diversified,Germany,EUR,,none,,,
1,GOOGL,ALPHABET INC.A,US02079K3059,stock,Gehirn,Communication Services,Internet Content & Information,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,AMZN,AMAZON.COM,US0231351067,stock,E-Commerce,Consumer Cyclical,Internet Retail,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,ASML,ASML HOLDING,NL0010273215,stock,Gehirn,Technology,Semiconductor Equipment & Materials,Netherlands,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,NDA.DE,AURUBIS AG,DE0006766504,stock,Recycling,Industrials,Metal Fabrication,Germany,EUR,Recycling,pillar,,derived from legacy category,
1,AUTO.OL,AUTOSTORE HOLDINGS,BMG0670A1099,stock,Hardware 💻,Technology,Computer Hardware,Norway,NOK,Hardware,pillar,,derived from legacy category,
1,ASM.TO,AVINO SILVER,CA0539061030,stock,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,BTO.TO,B2GOLD CORP.,CA11777Q2099,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,ABX.TO,BARRICK MINING,CA06849F1080,stock,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,BAYN.DE,BAYER AG,DE000BAY0017,stock,Pharma & Gesundheit,Healthcare,Drug Manufacturers - General,Germany,EUR,,none,,,
1,XYZ,BLOCK INC. A,US8522341036,stock,Fintech,Technology,Software - Infrastructure,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,CCJ,CAMECO CORP.,CA13321L1085,stock,Energie,Energy,Uranium,Canada,USD,Fundament,pillar,45,heuristic from official taxonomy,"grid, storage, electrification"
1,CPB,CAMPBELLS CO.,US1344291091,stock,Konsum & Lifestyle,Consumer Defensive,Packaged Foods,United States,USD,,concept2,,concept2 (Konsum) – derived from legacy category,
1,CNC,CENTENE CORP.,US15135B1017,stock,Pharma & Gesundheit,Healthcare,Healthcare Plans,United States,USD,,none,,,
1,CGNX,COGNEX CORP.,US1924221039,stock,Hardware 💻,Technology,Scientific & Technical Instruments,United States,USD,Hardware,pillar,,derived from legacy category,
1,COIN,COINBASE GLB.,US19260Q1076,stock,Krypto-Infrastruktur 🪙,Financial Services,Financial Data & Stock Exchanges,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,3750.HK,CONT.AMPEREX (CATL),CNE100006WS8,stock,Energie,Industrials,Electrical Equipment & Parts,China,HKD,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,DB1.DE,DEUTSCHE BANK,DE0005140008,stock,Finanzen,Financial Services,Financial Data & Stock Exchanges,Germany,EUR,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
