Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,Sektor,Akt. Kurs [€]
ABBN.SW,ABB LTD. NA,ABBN.SW,69.52,CHF,1.31,22.95,0.0,Seitwärts,0.0,0.0,84.6,88.7,Zyklus-Hoch,29.33,55.485,131.0,880625024.0,127925157888.0,33219999744.0,0.69,5.4,14.25,19.65,1.558,56.54,"[10.8, 58.66, 0.0, 11.27, 5.96]",28.03893,Hardware 💻,61.46
CA00831V2057,AFTERMATH SILVER,CA00831V2057,0.77,USD,-2.17,12.68,0.0,Seitwärts,0.0,0.0,73.4,28.2,Zyklus-neutral,-39.66,100.0,0.0,-10936923.0,254957904.0,1.0,-4.29,0.0,0.0,0.0,8.209,9.68,"[0.0, 0.0, 0.0, 71.76, 25.0]",0.0,Edelmetalle ⛏️,0.86
CA0084741085,AGNICO EAGLE,CA0084741085,215.49,USD,1.7,113.91,3.18,BUY,225.0,284.12,79.4,57.0,Zyklus-neutral,15.67,1.427,76.0,3510760960.0,104343330816.0,10567577600.0,3.36,41.9,32.62,74.52,2.12,73.08,"[83.8, 31.34, 28.65, 62.99, 21.88]",16.367407,Edelmetalle ⛏️,215.18
CA0115321089,ALAMOS GOLD,CA0115321089,61.92,CAD,1.07,67.78,0.0,Seitwärts,0.0,0.0,79.6,100.0,Zyklus-Hoch,14.27,6.831,23.0,228962496.0,25537525760.0,1609299968.0,0.9,28.1,33.46,61.56,1.717,71.67,"[56.2, 28.54, 0.0, 0.0, 25.75]",17.922289,Edelmetalle ⛏️,59.13
ALB,ALBEMARLE CORP.,ALB,175.14,USD,3.9,27.05,0.0,Seitwärts,0.0,0.0,86.5,39.6,Zyklus-neutral,0.21,36.655,96.0,-155030256.0,24179556352.0,4946415104.0,-0.64,-3.5,-0.43,-3.93,2.273,94.2,"[0.0, 0.42, 0.0, 60.35, 0.0]",67.11631,Energie,194.95
ALV.DE,ALLIANZ SE,ALV.DE,366.8,EUR,-2.81,48.46,0.0,Seitwärts,0.0,0.0,55.9,29.0,Zyklus-neutral,17.98,100.0,408.0,0.0,114918481920.0,105018998784.0,0.0,5.8,10.08,15.88,127.745,41.72,"[11.6, 35.96, 0.0, 71.02, 22.05]",11.787295,Finanzen,365.3
GOOGL,ALPHABET INC.A,GOOGL,312.26,USD,-1.99,67.47,0.0,Seitwärts,0.0,0.0,74.3,0.0,Zyklus-Tief,35.71,16.133,26.0,38088376320.0,3794015354880.0,402835996672.0,1.0,18.0,32.81,50.81,2.005,80.96,"[36.0, 71.42, 0.0, 100.0, 22.82]",23.405579,Gehirn,335.67
AMZN,AMAZON.COM,AMZN,205.01,USD,-0.94,53.96,0.0,Seitwärts,0.0,0.0,22.7,1.1,Zyklus-Tief,22.29,43.435,0.0,23793125376.0,2277217140736.0,716923994112.0,1.04,13.6,10.83,24.43,1.051,66.88,"[27.2, 44.58, 0.0, 98.86, 33.06]",22.005493,E-Commerce,244.38
ASML,ASML HOLDING,ASML,1438.19,USD,1.74,59.76,0.0,Seitwärts,0.0,0.0,88.8,42.1,Zyklus-neutral,50.46,13.813,62.0,12685974528.0,535751229440.0,32667299840.0,2.37,4.9,29.42,34.32,1.262,18.91,"[9.8, 100.0, 0.0, 57.86, 10.7]",32.549038,Gehirn,1466.93
NDA.DE,AURUBIS AG,NDA.DE,169.2,EUR,0.3,28.61,0.0,Warten,0.0,0.0,97.4,50.6,Zyklus-neutral,11.9,10.073,95.0,-585249984.0,7707624960.0,19295000576.0,-7.59,25.3,3.14,28.44,2.108,50.39,"[50.6, 23.8, 0.0, 49.45, 6.73]",18.645779,Recycling,155.7
BMG0670A1099,AUTOSTORE HOLDINGS,AUTO.OL,11.09,NOK,-5.94,38.76,0.0,Warten,0.0,0.0,61.3,22.4,Zyklus-neutral,5.71,35.222,0.0,163850000.0,39791874048.0,523800000.0,0.41,-3.6,15.48,11.88,4.24,95.1,"[0.0, 11.42, 0.0, 77.65, 12.01]",27.01148,Hardware 💻,11.83
CA0539061030,AVINO SILVER,CA0539061030,13.73,CAD,-2.42,86.86,8.31,BUY,16.11,25.14,88.2,26.6,Zyklus-neutral,14.34,2.563,0.0,15571250.0,2153994752.0,86065000.0,0.72,44.0,24.72,68.72,2.754,33.21,"[88.0, 28.68, 0.0, 93.39, 2.55]",13.73,Edelmetalle ⛏️,13.98
CA11777Q2099,B2GOLD CORP.,CA11777Q2099,7.56,CAD,-0.66,59.91,0.0,Warten,0.0,0.0,80.4,58.1,Zyklus-neutral,7.23,18.916,145.0,45092624.0,10475671552.0,2507048960.0,0.43,74.7,8.75,83.45,1.034,67.26,"[100.0, 14.46, 0.0, 41.88, 31.99]",6.933056,Edelmetalle ⛏️,7.47
CA06849F1080,BARRICK MINING,CA06849F1080,64.37,CAD,0.99,69.56,0.0,Seitwärts,0.0,0.0,76.1,37.6,Zyklus-neutral,20.68,14.509,360.0,4054125056.0,114651471872.0,16956000256.0,3.54,64.5,29.45,93.95,2.922,64.02,"[100.0, 41.36, 0.0, 62.36, 29.24]",11.62923,Edelmetalle ⛏️,70.41
BAYN.DE,BAYER AG,BAYN.DE,46.12,EUR,-0.1,38.88,0.0,Seitwärts,0.0,0.0,94.5,1.1,Zyklus-Tief,-0.57,133.457,24.0,5172499968.0,77877329920.0,45866000384.0,6.64,-3.1,-0.43,-3.53,1.136,53.32,"[0.0, 0.0, 0.0, 98.92, 17.03]",9.655784,Pharma & Gesundheit,46.74
BTC-USD,BITCOIN (KRYPTO),BTC-EUR,56749.62,EUR,-1.93,17.48,0.0,Seitwärts,0.0,0.0,22.4,38.8,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 61.24, 25.0]",0.0,Kryptowährungen 🪙,88616.28
US8522341036,BLOCK INC. A,US8522341036,54.15,USD,-5.49,53.13,0.0,Seitwärts,0.0,0.0,35.6,20.8,Zyklus-neutral,14.69,36.049,0.0,241061248.0,34101551104.0,23973765120.0,0.71,2.3,13.08,15.38,2.183,81.96,"[4.6, 29.38, 0.0, 79.24, 44.71]",16.763502,Fintech,64.75
CCJ,CAMECO CORP.,CCJ,119.57,USD,1.25,16.21,0.0,Seitwärts,0.0,0.0,82.9,26.1,Zyklus-neutral,8.1,14.854,15.0,787334656.0,51645775872.0,3464176128.0,1.52,-14.7,15.18,0.48,2.991,70.33,"[0.0, 16.2, 0.0, 73.93, 0.0]",83.55671,Energie,125.9
US1344291091,CAMPBELLS CO.,US1344291091,29.12,USD,-0.1,36.6,0.0,Seitwärts,0.0,0.0,37.2,94.9,Zyklus-Hoch,14.82,184.567,535.0,630499968.0,15831613440.0,10158000128.0,3.98,-3.4,5.69,2.29,0.819,65.55,"[0.0, 29.64, 0.0, 5.06, 23.55]",11.266603,Konsum & Lifestyle,27.25
US15135B1017,CENTENE CORP.,US15135B1017,40.45,USD,2.12,33.06,0.0,Seitwärts,0.0,0.0,64.5,26.7,Zyklus-neutral,-28.68,86.762,0.0,5197749760.0,16662495232.0,176151003136.0,31.19,23.1,-3.79,19.31,1.1,97.22,"[46.2, 0.0, 0.0, 73.3, 25.04]",10.000593,Pharma & Gesundheit,41.68
CGNX,COGNEX CORP.,CGNX,42.51,USD,-2.47,83.95,1.43,BUY,42.33,48.59,71.7,73.5,Zyklus-neutral,7.21,5.298,78.0,180942256.0,7082582016.0,971705024.0,2.55,18.0,11.33,29.33,3.964,100.98,"[36.0, 14.42, 0.0, 46.48, 12.72]",37.602066,Hardware 💻,39.72
US19260Q1076,COINBASE GLB.,US19260Q1076,152.7,USD,-6.04,54.19,0.0,Seitwärts,0.0,0.0,9.5,28.2,Zyklus-neutral,26.0,48.559,0.0,-1097911808.0,41830793216.0,7370428928.0,-2.62,58.9,43.66,102.56,2.404,66.9,"[100.0, 52.0, 0.0, 71.8, 70.53]",23.743547,Krypto-Infrastruktur 🪙,211.68
CNE100006WS8,CONT.AMPEREX (CATL),CNE100006WS8,507.0,HKD,-0.78,53.44,0.0,Seitwärts,0.0,0.0,42.4,81.2,Zyklus-Hoch,22.14,37.135,22.0,48903442432.0,2092220153856.0,386039808000.0,2.34,12.9,16.52,29.42,1.684,57.26,"[25.8, 44.28, 0.0, 18.8, 23.97]",23.228323,Energie,467.0
DE0005140008,DEUTSCHE BANK,DB1.DE,203.3,EUR,-3.05,56.73,0.0,Seitwärts,0.0,0.0,40.7,8.0,Zyklus-Tief,19.48,54.664,191.0,0.0,1.0,7302400000.0,0.0,4.2,27.59,31.79,1.009,65.41,"[8.4, 38.96, 0.0, 91.96, 30.23]",17.32259,Finanzen,33.53
CA2546771072,DISCOVERY SILVER,CA2546771072,10.84,CAD,7.54,59.6,0.0,Seitwärts,0.0,0.0,85.0,47.0,Zyklus-neutral,11.07,100.0,0.0,152799680.0,7792443392.0,378971008.0,1.96,0.0,9.5,9.5,2.042,36.12,"[0.0, 22.14, 0.0, 53.01, 29.86]",15.485715,Edelmetalle ⛏️,11.36
CA2568277834,DOLLY VARDEN,CA2568277834,6.53,CAD,0.0,36.92,0.0,Seitwärts,0.0,0.0,69.6,33.7,Zyklus-neutral,-26.19,100.0,0.0,-20282864.0,565411840.0,1.0,-3.59,0.0,0.0,0.0,4.598,12.37,"[0.0, 0.0, 0.0, 66.33, 100.0]",-111.962166,Edelmetalle ⛏️,7.53
